Entry No.,Headword,No.,Syllabary,Practical,Simple phonetics,Tone and length 1,Tone and length 2,Part of speech,Part of speech ch,Grammar sub entry,Grammar note,Translation 1A,Translation 1B,Translation 1C,Translation 1D,Translation 1E,Translation 1F,Translation 1G,Translation 1H,Translation 1 sub entry,Translation 2A,Translation 2B,Translation 2C,Translation 2D,Translation 2 sub entry,Translation 3A,Translation 3B,Translation 3C,Translation 3D,Translation 3 sub entry,English gloss 1,English gloss 2,English gloss 3,English gloss 4,Variant 1,Variant 2,Variant 3,Variant 4,Variant 5,Variant 6,Variant 7,Variant 8,Word audio,Sentence 1 audio,Sentence-1 SYLL,Sentence-1 PHON,Sentence-1 ENGL,Sentence 2 audio,Sentence-2 SYLL,Sentence-2 PHON,Sentence-2 ENGL,Sentence 3 audio,Sentence-3 SYLL,Sentence-3 PHON,Sentence-3 ENGL,Source of sentence 1,Source of sentence 2,Source of sentence 3,Speaker of sentence 1,Speaker of sentence 2,Speaker of sentence 3,Notes on speaker of sentence 1,Notes on speaker of sentence 2,Notes on speaker of sentence 3,Status
362.6,ᎤᎾᏓᏟᏐᏗ,362,ᎤᎾᏓᏟᏐᏗ,unadahlisohdi,u-na-da-tli-so-di,unạdàhlǐsọ́hdi,u:nadà:hlǐ:sóhdi,verb (v.i.),ᏛᎪᏏᏏᏍᎬᎢ (v.i.) ,3rd person singular infinitive,,to gather,,,,,,,,,,,,,,,,,,,gather,,,,,,,,,,,,,Sentence_for_entry_0362.m4a,ᏥᏈᏍᏓ ᏴᏫ *ᎠᎾᏓᏟᏏᎭ* ᏗᎦᏚᎲ ᎪᎯ ᎢᎦ.,tsgwi̋:sda yv:wi *à:nadá:hli:si:ha* diga:dú:hv̋: kò:hi i:ga,A lot of people *are gathering* in town today.,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED
363.1,ᎠᎾᎦᎵᎭ,363,ᎠᎾᎦᎵᎭ,anagaliha,a-na-ga-li-ha,ànâgạlị́ha,à:nâ:galíha,verb (v.i.),ᏛᎪᏏᏏᏍᎬᎢ (v.i.) ,3rd person singular,,it’s lightning,,,,,,,,,,,,,,,,,,,lightning,,,,,,,,,,,,Word_0363.1.m4a,Sentence_for_entry_0363.m4a,ᏥᏈᏍᏗ *ᎠᎾᎦᎵᎭ* ᏙᏱ ᏗᏁᎶᏗᎢ.,tsgwì:sdi *à:nâ:galǐ:ha* dǒ:yi di:né:lhdi̋:’i,It’s *lightening* too much to play outside.,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED
363.2,ᎤᎾᎦᎸᎲᎢ,363,ᎤᎾᎦᎸᎲᎢ,unagalvhv’i,u-na-ga-lv-hv-i,ùnâgạlvhv̌’i,ù:nâ:galv:hv̌:’i,verb (v.i.),ᏛᎪᏏᏏᏍᎬᎢ (v.i.) ,3rd person singular non-progressive remote past tense,,there was lightning,,,,,,,,,,,,,,,,,,,lightning,,,,,,,,,,,,,Sentence_for_entry_0363.m4a,ᏥᏈᏍᏗ *ᎠᎾᎦᎵᎭ* ᏙᏱ ᏗᏁᎶᏗᎢ.,tsgwì:sdi *à:nâ:galǐ:ha* dǒ:yi di:né:lhdi̋:’i,It’s *lightening* too much to play outside.,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED
363.3,ᎠᎾᎦᎵᏍᎪᎢ,363,ᎠᎾᎦᎵᏍᎪᎢ,anagalisgo’i,a-na-ga-li-s-go-i,ànâgạlǐsgọ́’i,à:nâ:galǐ:sgó’i,verb (v.i.),ᏛᎪᏏᏏᏍᎬᎢ (v.i.) ,3rd person singular present habitual,,there is lightning,,,,,,,,,,,,,,,,,,,lightning,,,,,,,,,,,,,Sentence_for_entry_0363.m4a,ᏥᏈᏍᏗ *ᎠᎾᎦᎵᎭ* ᏙᏱ ᏗᏁᎶᏗᎢ.,tsgwì:sdi *à:nâ:galǐ:ha* dǒ:yi di:né:lhdi̋:’i,It’s *lightening* too much to play outside.,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED
364.1,ᎠᎾᎦᎵᏍᎩ,364,ᎠᎾᎦᎵᏍᎩ,anagalisgi,a-na-ga-li-s-gi,ạnàgạlǐsgi,anà:galǐ:sgi,noun,ᎪᎱᏍᏗ ᏴᎧᏃᎮᎭ ,singular,,lightning,,,,,,,,,electricity,,,,,battery,,,,,lightning,electricity,battery,,,,,,,,,,Word_0364.1.m4a,Sentence_for_entry_0364.m4a,ᎤᎵᏬᏨ *ᎠᎾᎦᎵᏍᎩ* ᎤᏄᎸᏅ ᎤᏂᎩᏍᏙᏗ ᏓᏆᎴᎳ.,u:li:hwò:jv̋: *anà:galǐ:sgi* ù:nu:lv́:hnv́: u:hnigì:sdohdi̋: dagwalé:la,The dead *battery* couldn’t start the car.,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED
364.2,ᏗᎾᎦᎵᏍᎩ,364,ᏗᎾᎦᎵᏍᎩ,dinagalisgi,di-na-ga-li-s-gi,dinàgạlǐsgi,di:nà:galǐ:sgi,noun,ᎪᎱᏍᏗ ᏴᎧᏃᎮᎭ ,plural,,several flashes of lightning,,,,,,,,,several instances of electricity,,,,,batteries,,,,,lightning,electricity,battery,,,,,,,,,,,Sentence_for_entry_0364.m4a,ᎤᎵᏬᏨ *ᎠᎾᎦᎵᏍᎩ* ᎤᏄᎸᏅ ᎤᏂᎩᏍᏙᏗ ᏓᏆᎴᎳ.,u:li:hwò:jv̋: *anà:galǐ:sgi* ù:nu:lv́:hnv́: u:hnigì:sdohdi̋: dagwalé:la,The dead *battery* couldn’t start the car.,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED
365.1,ᎠᎾᏟᏅᏟ,365,ᎠᎾᏟᏅᏟ,anahlinvdli,a-na-hli-nv-hli,ạnạhlịnv̋dli,anahlinv̋:dli,noun,ᎪᎱᏍᏗ ᏴᎧᏃᎮᎭ ,singular,,brothers,,,,,,,,refers to more than two brothers,,,,,,,,,,,brother,,,,,,,,,,,,0365.1.m4a,Sentence_for_entry_0365.m4a,ᎯᎠ ᎯᏍᎩ ᎢᏯᏂᎢ ᎠᏂᏧᏣ ᏂᎦᏓ *ᎠᎾᏟᏅᏟ.*,hi’a hisgi yani̋: ani:chű:ja niga̋:da *à:nahlinv́:hlv́*,These five boys are all *brothers.*,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED
366.1,ᎠᎾᎵᎪᎲᏍᎦ,366,ᎠᎾᎵᎪᎲᏍᎦ,analigohvsga,a-na-li-go-hv-s-ga,ànạlígohṿ́sga,à:nalí:go:hv́sga,verb (v.i.),ᏛᎪᏏᏏᏍᎬᎢ (v.i.) ,3rd person singular,,they are getting together,,,,,,,,,they are dating,,,,when dual form is used,,,,,,date,get together,,,,,,,,,,,,Sentence_for_entry_0366.m4a,ᎯᎠ ᎠᎨᏳᏣ ᎠᏧᏣᏃ *ᎤᎾᎵᎪᏗ* ᎤᎾᏚᎵᎭ.,hi’a age:hyű:ja achű:jahnô *u:nalì:kdi̋* ù:nadu:lǐ:hâ,This boy and girl want *to go together.*,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED
366.2,ᎣᏣᎵᎪᎲᏍᎦ,366,ᎣᏣᎵᎪᎲᏍᎦ,ojaligohvsga,o-tsa-li-go-hv-s-ga,òjạlígohṿ́sga,ò:jalí:go:hv́sga,verb (v.i.),ᏛᎪᏏᏏᏍᎬᎢ (v.i.) ,1st person singular with animate/ inanimate object,,I’m getting together,,,,,,,,,we’re dating,,,,when dual form is used,,,,,,date,get together,,,otsaligohvsga,,,,,,,,,Sentence_for_entry_0366.m4a,ᎯᎠ ᎠᎨᏳᏣ ᎠᏧᏣᏃ *ᎤᎾᎵᎪᏗ* ᎤᎾᏚᎵᎭ.,hi’a age:hyű:ja achű:jahnô *u:nalì:kdi̋* ù:nadu:lǐ:hâ,This boy and girl want *to go together.*,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED
366.3,ᎤᎾᎵᎪᏅᎢ,366,ᎤᎾᎵᎪᏅᎢ,unaligohnv’i,u-na-li-go-nv-i,ùnạlígohnv̌’i,ù:nalí:go:hnv̌:’i,verb (v.i.),ᏛᎪᏏᏏᏍᎬᎢ (v.i.) ,3rd person singular non-progressive remote past tense,,they got together,,,,,,,,,they dated,,,,when dual form is used,,,,,,date,get together,,,unaligonv’i,,,,,,,,,Sentence_for_entry_0366.m4a,ᎯᎠ ᎠᎨᏳᏣ ᎠᏧᏣᏃ *ᎤᎾᎵᎪᏗ* ᎤᎾᏚᎵᎭ.,hi’a age:hyű:ja achű:jahnô *u:nalì:kdi̋* ù:nadu:lǐ:hâ,This boy and girl want *to go together.*,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED
366.4,ᎠᎾᎵᎪᎲᏍᎪᎢ,366,ᎠᎾᎵᎪᎲᏍᎪᎢ,analigohvsgo’i,a-na-li-go-hv-s-go-i,ànạlígohṿsgó’i,à:nalí:go:hvsgó:’i,verb (v.i.),ᏛᎪᏏᏏᏍᎬᎢ (v.i.) ,3rd person singular present habitual,,they get together,,,,,,,,,they date,,,,when dual form is used,,,,,,date,get together,,,,,,,,,,,,Sentence_for_entry_0366.m4a,ᎯᎠ ᎠᎨᏳᏣ ᎠᏧᏣᏃ *ᎤᎾᎵᎪᏗ* ᎤᎾᏚᎵᎭ.,hi’a age:hyű:ja achű:jahnô *u:nalì:kdi̋* ù:nadu:lǐ:hâ,This boy and girl want *to go together.*,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED
366.5,ᎢᏣᎵᎪᎲᎦ,366,ᎢᏣᎵᎪᎲᎦ,ijaligohvga,i-tsa-li-go-hv-ga,ìjạlìgohv̀ga,ì:jalì:go:hv̀:ga,verb (v.i.),ᏛᎪᏏᏏᏍᎬᎢ (v.i.) ,imperative with animate/ inanimate direct objects,,get together!,,,,,,,,,date!,,,,when dual form is used,,,,,,date,get together,,,itsaligohvga,,,,,,,,,Sentence_for_entry_0366.m4a,ᎯᎠ ᎠᎨᏳᏣ ᎠᏧᏣᏃ *ᎤᎾᎵᎪᏗ* ᎤᎾᏚᎵᎭ.,hi’a age:hyű:ja achű:jahnô *u:nalì:kdi̋* ù:nadu:lǐ:hâ,This boy and girl want *to go together.*,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED
366.6,ᎤᎾᎵᎪᏗ,366,ᎤᎾᎵᎪᏗ,unalikdi,u-na-li-go-di,unạlìkdi,u:nalì:kdi,verb (v.i.),ᏛᎪᏏᏏᏍᎬᎢ (v.i.) ,3rd person singular infinitive,,to get together,,,,,,,,,to date,,,,when dual form is used,,,,,,date,get together,,,,,,,,,,,Word_0366.6.m4a,Sentence_for_entry_0366.m4a,ᎯᎠ ᎠᎨᏳᏣ ᎠᏧᏣᏃ *ᎤᎾᎵᎪᏗ* ᎤᎾᏚᎵᎭ.,hi’a age:hyű:ja achű:jahnô *u:nalì:kdi̋* ù:nadu:lǐ:hâ,This boy and girl want *to go together.*,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED
367.1,ᎠᏁᏟᏗ,367,ᎠᏁᏟᏗ,anehldi,a-ne-tli-di,àněhldi,à:ně:hldi,noun,ᎪᎱᏍᏗ ᏴᎧᏃᎮᎭ ,singular,,doll,,,,,,,,,,,,,,,,,,,doll,,,,,,,,,,,,0367.1.m4a,Sentence_for_entry_0367.m4a,ᏧᎾᏍᏗ ᎠᏂᎨᏳᏣ *ᏗᏁᏟᏗ* ᏓᎾᏁᏟᏗᏍᎪᎢ.,ju:nsdi̋: ani:gě:hű:ja *di:né:hldi dà* ná:ne:lhdi:sgó:’i,Little girls play with *dolls.*,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Phyllis Edwards,,,Cherokee Nation translation specialist.,,,APPROVED
367.2,ᏗᏁᏟᏗ,367,ᏗᏁᏟᏗ,dinehldi,di-ne-tli-di,dìněhldi,dì:ně:hldi,noun,ᎪᎱᏍᏗ ᏴᎧᏃᎮᎭ ,plural,,dolls,,,,,,,,,,,,,,,,,,,doll,,,,,,,,,,,,Word_0367.2.m4a,Sentence_for_entry_0367.m4a,ᏧᎾᏍᏗ ᎠᏂᎨᏳᏣ *ᏗᏁᏟᏗ* ᏓᎾᏁᏟᏗᏍᎪᎢ.,ju:nsdi̋: ani:gě:hű:ja *di:né:hldi dà* ná:ne:lhdi:sgó:’i,Little girls play with *dolls.*,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Phyllis Edwards,,,Cherokee Nation translation specialist.,,,APPROVED
368.1,ᎠᏁᏟᏗᎭ,368,ᎠᏁᏟᏗᎭ,anehldiha,a-ne-tli-di-ha,ánẹhldị́ha,á:nehldíha,verb (v.t.),ᏛᎪᏏᏏᏍᎬᎢ (v.t.) ,3rd person singular,,he/she is attempting it,,,,,,,,,,,,,,,,,,,attempt,,,,,,,,,,,,Word_0368.1.m4a,Sentence_for_entry_0368.m4a,ᏓᏆᎴᎳ ᎤᏂᎩᏍᏙᏗ *ᎠᏁᏟᏗᎭ.*,dagwalé:la u:hnígì:sdohdi̋: *á:ne:lhdǐ:ha*,*He’s trying* to start the car.,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Phyllis Edwards,,,Cherokee Nation translation specialist.,,,APPROVED
