Entry No.,Headword,No.,Syllabary,Practical,Simple phonetics,Tone and length 1,Tone and length 2,Part of speech,Part of speech ch,Grammar sub entry,Grammar note,Translation 1A,Translation 1B,Translation 1C,Translation 1D,Translation 1E,Translation 1F,Translation 1G,Translation 1H,Translation 1 sub entry,Translation 2A,Translation 2B,Translation 2C,Translation 2D,Translation 2 sub entry,Translation 3A,Translation 3B,Translation 3C,Translation 3D,Translation 3 sub entry,English gloss 1,English gloss 2,English gloss 3,English gloss 4,Variant 1,Variant 2,Variant 3,Variant 4,Variant 5,Variant 6,Variant 7,Variant 8,Word audio,Sentence 1 audio,Sentence-1 SYLL,Sentence-1 PHON,Sentence-1 ENGL,Sentence 2 audio,Sentence-2 SYLL,Sentence-2 PHON,Sentence-2 ENGL,Sentence 3 audio,Sentence-3 SYLL,Sentence-3 PHON,Sentence-3 ENGL,Source of sentence 1,Source of sentence 2,Source of sentence 3,Speaker of sentence 1,Speaker of sentence 2,Speaker of sentence 3,Notes on speaker of sentence 1,Notes on speaker of sentence 2,Notes on speaker of sentence 3,Status
4.1,ᎠᏧᏣ,4,ᎠᏧᏣ,achuja,a-tsu-tsa,ạchűja,achű:ja,noun,ᎪᎱᏍᏗ ᏴᎧᏃᎮᎭ ,singular,,boy,,,,,,,,,,,,,,,,,,,boy,,,,atsutsa,,,,,,,,Word_CNLD_boy_4.1.m4a,Sentence_for_entry_0004.m4a,Ꮎ *ᎠᏂᏧᏣ* ᏍᏆᏞᏍᏗ ᏓᎾᏁᎶᎲᏍᎦ.,ná *ani:chű:ja* sgwà:hle̋:sdi dà:ná:ne:lo:hv́sga,The *boys* are playing ball.,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED
4.2,ᎠᏂᏧᏣ,4,ᎠᏂᏧᏣ,anichuja,a-ni-tsu-tsa,ạnichűja,ani:chű:ja,noun,ᎪᎱᏍᏗ ᏴᎧᏃᎮᎭ ,plural,,boys,,,,,,,,,,,,,,,,,,,boy,,,,anitsutsa,,,,,,,,Word_0004.2.m4a,Sentence_for_entry_0004.m4a,Ꮎ *ᎠᏂᏧᏣ* ᏍᏆᏞᏍᏗ ᏓᎾᏁᎶᎲᏍᎦ.,ná *ani:chű:ja* sgwà:hle̋:sdi dà:ná:ne:lo:hv́sga,The *boys* are playing ball.,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED
5.1,ᎠᏨᏯ,5,ᎠᏨᏯ,achvya,a-tsv-ya,ạchvya,achv:ya,noun,ᎪᎱᏍᏗ ᏴᎧᏃᎮᎭ ,singular,,male animal,,,,,,,,,,,,,,,,,,,animal,male,,,atsvya,,,,,,,,0005.1.m4a,Sentence_for_entry_0005.m4a,ᏥᏔᎦ *ᎠᏂᏨᏯ* ᎤᎩᏥᏍᏕᏱ ᎠᎾᏴᎪᎢ.,jitǎ:ga *ani:chv:ya* u:gitsde̋:yi à:ná:yhgó:’i,*Roosters* crow at dawn.,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED
5.2,ᎠᏂᏨᏯ,5,ᎠᏂᏨᏯ,anichvya,a-ni-tsv-ya,ạnichvya,ani:chv:ya,noun,ᎪᎱᏍᏗ ᏴᎧᏃᎮᎭ ,plural,,male animals,,,,,,,,,,,,,,,,,,,animal,male,,,anitsvya,,,,,,,,Word_0005.2.m4a,Sentence_for_entry_0005.m4a,ᏥᏔᎦ *ᎠᏂᏨᏯ* ᎤᎩᏥᏍᏕᏱ ᎠᎾᏴᎪᎢ.,jitǎ:ga *ani:chv:ya* u:gitsde̋:yi à:ná:yhgó:’i,*Roosters* crow at dawn.,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED
6.1,ᎠᏓ,6,ᎠᏓ,ada,a-da,ạda,ada,noun,ᎪᎱᏍᏗ ᏴᎧᏃᎮᎭ ,singular,,wood,,,,,,,,,,,,,,,,,,,wood,,,,,,,,,,,,Word_0006.1.m4a,Sentence_for_entry_0006.m4a,ᎯᎳ ᏧᎬᏩᎶᏗ ᏌᏊ ᎢᎦᏒᏘ *ᎠᏓ?*,hila̋: ju:gv̋:walhdi sà:gwű i:gâ:sv̋:ti *ada*,How much does one rick of *wood* cost?,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED
7.1,ᎠᏓ,7,ᎠᏓ,a’da,a-da,ạ̋’da,a̋’da,noun,ᎪᎱᏍᏗ ᏴᎧᏃᎮᎭ ,singular,,young animal,,,,,,,,refers to an animal born in a litter or hatched,,,,,,,,,,,animal,young,,,,,,,,,,,0007.1.m4a,Sentence_for_entry_0007.m4a,ᏥᏔᎦ *ᎠᏂᏓ* ᏧᏛᎯᏍᏙᏗ ᎠᏓᏅᏖᎭ.,jitǎ:ga *ani̋:da* ju:tvhisdóhdi̋ à:da:nhtě:ha,He’s thinking about raising *chicks.*,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED
7.2,ᎠᏂᏓ,7,ᎠᏂᏓ,anida,a-ni-da,ạni̋da,ani̋:da,noun,ᎪᎱᏍᏗ ᏴᎧᏃᎮᎭ ,plural,,young animals,,,,,,,,refers to an animal born in a litter or hatched,,,,,,,,,,,animal,young,,,,,,,,,,,Word_0007.2.m4a,Sentence_for_entry_0007.m4a,ᏥᏔᎦ *ᎠᏂᏓ* ᏧᏛᎯᏍᏙᏗ ᎠᏓᏅᏖᎭ.,jitǎ:ga *ani̋:da* ju:tvhisdóhdi̋ à:da:nhtě:ha,He’s thinking about raising *chicks.*,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED
8.1,ᎠᏓᏕᎦ,8,ᎠᏓᏕᎦ,adadega,a-da-de-ga,àdạdéga,à:dadé:ga,verb (v.i.),ᏛᎪᏏᏏᏍᎬᎢ (v.i.) ,3rd person singular,,it’s bouncing,,,,,,,,,,,,,,,,,,,bounce,,,,,,,,,,,,,Sentence_for_entry_0008.m4a,ᎡᎳᏗ ᏭᏗᎾ ᏍᏆᏞᏍᏗ *ᎤᏓᏗᏅᏒᎢ.*,e:ladí wǔ:di̋:na sgwà:hle̋:sdi *ù:dadi:nv̂:sv̌:’i*,When he threw the ball down‚ it *bounced.*,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED
8.2,ᎦᏓᏕᎦ,8,ᎦᏓᏕᎦ,gadadega,ga-da-de-ga,gạdạdéga,gadadé:ga,verb (v.i.),ᏛᎪᏏᏏᏍᎬᎢ (v.i.) ,1st person singular with animate/ inanimate object,,I’m bouncing,,,,,,,,,,,,,,,,,,,bounce,,,,,,,,,,,,,Sentence_for_entry_0008.m4a,ᎡᎳᏗ ᏭᏗᎾ ᏍᏆᏞᏍᏗ *ᎤᏓᏗᏅᏒᎢ.*,e:ladí wǔ:di̋:na sgwà:hle̋:sdi *ù:dadi:nv̂:sv̌:’i*,When he threw the ball down‚ it *bounced.*,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED
8.3,ᎤᏓᏗᏅᏒᎢ,8,ᎤᏓᏗᏅᏒᎢ,udadinvsv’i,u-da-di-nv-sv-i,ùdạdǐnv̂sv̌’i,ù:dadǐ:nv̂:sv̌:’i,verb (v.i.),ᏛᎪᏏᏏᏍᎬᎢ (v.i.) ,3rd person singular non-progressive remote past tense,,it bounced,,,,,,,,,,,,,,,,,,,bounce,,,,,,,,,,,,Word_0008.3.m4a,Sentence_for_entry_0008.m4a,ᎡᎳᏗ ᏭᏗᎾ ᏍᏆᏞᏍᏗ *ᎤᏓᏗᏅᏒᎢ.*,e:ladí wǔ:di̋:na sgwà:hle̋:sdi *ù:dadi:nv̂:sv̌:’i*,When he threw the ball down‚ it *bounced.*,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED
8.4,ᎠᏓᏕᎪᎢ,8,ᎠᏓᏕᎪᎢ,adadego’i,a-da-de-go-i,àdạdégó’i,à:dadé:gó:’i,verb (v.i.),ᏛᎪᏏᏏᏍᎬᎢ (v.i.) ,3rd person singular present habitual,,it bounces,,,,,,,,,,,,,,,,,,,bounce,,,,,,,,,,,,,Sentence_for_entry_0008.m4a,ᎡᎳᏗ ᏭᏗᎾ ᏍᏆᏞᏍᏗ *ᎤᏓᏗᏅᏒᎢ.*,e:ladí wǔ:di̋:na sgwà:hle̋:sdi *ù:dadi:nv̂:sv̌:’i*,When he threw the ball down‚ it *bounced.*,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED
8.5,ᎭᏓᏚᎦ,8,ᎭᏓᏚᎦ,hadaduga,ha-da-du-ga,hạdạdùga,hadadù:ga,verb (v.i.),ᏛᎪᏏᏏᏍᎬᎢ (v.i.) ,imperative with animate/ inanimate direct objects,,bounce!,,,,,,,,,,,,,,,,,,,bounce,,,,,,,,,,,,,Sentence_for_entry_0008.m4a,ᎡᎳᏗ ᏭᏗᎾ ᏍᏆᏞᏍᏗ *ᎤᏓᏗᏅᏒᎢ.*,e:ladí wǔ:di̋:na sgwà:hle̋:sdi *ù:dadi:nv̂:sv̌:’i*,When he threw the ball down‚ it *bounced.*,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED
8.6,ᎤᏓᏗᏅᏗ,8,ᎤᏓᏗᏅᏗ,udadinvdi,u-da-di-nv-di,udạdǐnv̂di,u:dadǐ:nv̂:di,verb (v.i.),ᏛᎪᏏᏏᏍᎬᎢ (v.i.) ,3rd person singular infinitive,,to bounce,,,,,,,,,,,,,,,,,,,bounce,,,,,,,,,,,,,Sentence_for_entry_0008.m4a,ᎡᎳᏗ ᏭᏗᎾ ᏍᏆᏞᏍᏗ *ᎤᏓᏗᏅᏒᎢ.*,e:ladí wǔ:di̋:na sgwà:hle̋:sdi *ù:dadi:nv̂:sv̌:’i*,When he threw the ball down‚ it *bounced.*,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED
9.1,ᎠᏓᏕᎦ,9,ᎠᏓᏕᎦ,adadega,a-da-de-ga,àdạdéga,à:dadé:ga,verb (v.i.),ᏛᎪᏏᏏᏍᎬᎢ (v.i.) ,3rd person singular,,he/she is limping,,,,,,,,,,,,,,,,,,,limp,,,,,,,,,,,,,Sentence_for_entry_0009.m4a,ᎠᏲᎤᏟ ᎠᏍᎦᏯ *ᎠᏓᏕᎬ* ᏥᎪᏩᏘᎭ.,ayo’ű:hli asgaya *à:dadé:gv̋:* ji:gòwahtǐ:ha,I see a lame man *limping.*,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED
9.2,ᎦᏓᏕᎦ,9,ᎦᏓᏕᎦ,gadadega,ga-da-de-ga,gạdạdéga,gadadé:ga,verb (v.i.),ᏛᎪᏏᏏᏍᎬᎢ (v.i.) ,1st person singular with animate/ inanimate object,,I’m limping,,,,,,,,,,,,,,,,,,,limp,,,,,,,,,,,,,Sentence_for_entry_0009.m4a,ᎠᏲᎤᏟ ᎠᏍᎦᏯ *ᎠᏓᏕᎬ* ᏥᎪᏩᏘᎭ.,ayo’ű:hli asgaya *à:dadé:gv̋:* ji:gòwahtǐ:ha,I see a lame man *limping.*,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED
9.3,ᎤᏓᏕᏒᎢ,9,ᎤᏓᏕᏒᎢ,udadesv’i,u-da-de-sv-i,ùdạdésv̌’i,ù:dadé:sv̌:’i,verb (v.i.),ᏛᎪᏏᏏᏍᎬᎢ (v.i.) ,3rd person singular non-progressive remote past tense,,he/she limped,,,,,,,,,,,,,,,,,,,limp,,,,,,,,,,,,,Sentence_for_entry_0009.m4a,ᎠᏲᎤᏟ ᎠᏍᎦᏯ *ᎠᏓᏕᎬ* ᏥᎪᏩᏘᎭ.,ayo’ű:hli asgaya *à:dadé:gv̋:* ji:gòwahtǐ:ha,I see a lame man *limping.*,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED
9.4,ᎠᏓᏕᎪᎢ,9,ᎠᏓᏕᎪᎢ,adadego’i,a-da-de-go-i,àdạdégó’i,à:dadé:gó:’i,verb (v.i.),ᏛᎪᏏᏏᏍᎬᎢ (v.i.) ,3rd person singular present habitual,,he/she limps,,,,,,,,,,,,,,,,,,,limp,,,,,,,,,,,,,Sentence_for_entry_0009.m4a,ᎠᏲᎤᏟ ᎠᏍᎦᏯ *ᎠᏓᏕᎬ* ᏥᎪᏩᏘᎭ.,ayo’ű:hli asgaya *à:dadé:gv̋:* ji:gòwahtǐ:ha,I see a lame man *limping.*,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED
9.5,ᎭᏓᏚᎦ,9,ᎭᏓᏚᎦ,hadaduga,ha-da-du-ga,hạdạdùga,hadadù:ga,verb (v.i.),ᏛᎪᏏᏏᏍᎬᎢ (v.i.) ,imperative with animate/ inanimate direct objects,,walk with a limp!,,,,,,,,,,,,,,,,,,,limp,,,,,,,,,,,,,Sentence_for_entry_0009.m4a,ᎠᏲᎤᏟ ᎠᏍᎦᏯ *ᎠᏓᏕᎬ* ᏥᎪᏩᏘᎭ.,ayo’ű:hli asgaya *à:dadé:gv̋:* ji:gòwahtǐ:ha,I see a lame man *limping.*,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED
9.6,ᎤᏓᏗᏅᏗ,9,ᎤᏓᏗᏅᏗ,udadinvdi,u-da-di-nv-di,udạdǐnv̂di,u:dadǐ:nv̂:di,verb (v.i.),ᏛᎪᏏᏏᏍᎬᎢ (v.i.) ,3rd person singular infinitive,,to limp,,,,,,,,,,,,,,,,,,,limp,,,,,,,,,,,,,Sentence_for_entry_0009.m4a,ᎠᏲᎤᏟ ᎠᏍᎦᏯ *ᎠᏓᏕᎬ* ᏥᎪᏩᏘᎭ.,ayo’ű:hli asgaya *à:dadé:gv̋:* ji:gòwahtǐ:ha,I see a lame man *limping.*,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED
10.1,ᎠᏓᏗᏅᏗᎭ,10,ᎠᏓᏗᏅᏗᎭ,adadinvdiha,a-da-di-nv-di-ha,àdạdǐnv̂dịha,à:dadǐ:nv̂:diha,verb (v.i.),ᏛᎪᏏᏏᏍᎬᎢ (v.i.) ,3rd person singular,,he/she is bouncing it,,,,,,,,,,,,,,,,,,,bounce,,,,,,,,,,,,Word_0010.1.m4a,Sentence_for_entry_0010.m4a,Ꮎ ᎠᎳᏍᎦᎵᏍᎩ ᏍᏓᏯ *ᎠᏓᏗᏅᏗᎭ* ᏍᏆᏞᏍᏗ.,ná alà:sgali̋:sgi sda̋:ya *à:dadǐ:nv̂:dǐ:ha* sgwà:hle̋:sdi,The ball player is *bouncing* the ball hard.,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED
10.2,ᎦᏓᏗᏅᏗᎭ,10,ᎦᏓᏗᏅᏗᎭ,gadadinvdiha,ga-da-di-nv-di-ha,gạdạdǐnv̂dịha,gadadǐ:nv̂:diha,verb (v.i.),ᏛᎪᏏᏏᏍᎬᎢ (v.i.) ,1st person singular with animate/ inanimate object,,I’m bouncing it,,,,,,,,,,,,,,,,,,,bounce,,,,,,,,,,,,,Sentence_for_entry_0010.m4a,Ꮎ ᎠᎳᏍᎦᎵᏍᎩ ᏍᏓᏯ *ᎠᏓᏗᏅᏗᎭ* ᏍᏆᏞᏍᏗ.,ná alà:sgali̋:sgi sda̋:ya *à:dadǐ:nv̂:dǐ:ha* sgwà:hle̋:sdi,The ball player is *bouncing* the ball hard.,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED
10.3,ᎤᏓᏗᏅᏔᏅᎢ,10,ᎤᏓᏗᏅᏔᏅᎢ,udadinvtanv’i,u-da-di-nv-ta-nv-i,ùdạdǐnv̂tạnv̌’i,ù:dadǐ:nv̂:tanv̌:’i,verb (v.i.),ᏛᎪᏏᏏᏍᎬᎢ (v.i.) ,3rd person singular non-progressive remote past tense,,he/she bounced it,,,,,,,,,,,,,,,,,,,bounce,,,,,,,,,,,,,Sentence_for_entry_0010.m4a,Ꮎ ᎠᎳᏍᎦᎵᏍᎩ ᏍᏓᏯ *ᎠᏓᏗᏅᏗᎭ* ᏍᏆᏞᏍᏗ.,ná alà:sgali̋:sgi sda̋:ya *à:dadǐ:nv̂:dǐ:ha* sgwà:hle̋:sdi,The ball player is *bouncing* the ball hard.,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED
10.4,ᎠᏓᏗᏅᏗᏍᎪᎢ,10,ᎠᏓᏗᏅᏗᏍᎪᎢ,adadinvdisgo’i,a-da-di-nv-di-s-go-i,àdạdǐnv̂disgó’i,à:dadǐ:nv̂:di:sgó:’i,verb (v.i.),ᏛᎪᏏᏏᏍᎬᎢ (v.i.) ,3rd person singular present habitual,,he/she bounces it,,,,,,,,,,,,,,,,,,,bounce,,,,,,,,,,,,,Sentence_for_entry_0010.m4a,Ꮎ ᎠᎳᏍᎦᎵᏍᎩ ᏍᏓᏯ *ᎠᏓᏗᏅᏗᎭ* ᏍᏆᏞᏍᏗ.,ná alà:sgali̋:sgi sda̋:ya *à:dadǐ:nv̂:dǐ:ha* sgwà:hle̋:sdi,The ball player is *bouncing* the ball hard.,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED
10.5,ᎭᏓᏗᏅᏓ,10,ᎭᏓᏗᏅᏓ,hadadinvda,ha-da-di-nv-da,hạdạdinv̀da,hadadi:nv̀:da,verb (v.i.),ᏛᎪᏏᏏᏍᎬᎢ (v.i.) ,imperative with animate/ inanimate direct objects,,bounce it!,,,,,,,,,,,,,,,,,,,bounce,,,,,,,,,,,,,Sentence_for_entry_0010.m4a,Ꮎ ᎠᎳᏍᎦᎵᏍᎩ ᏍᏓᏯ *ᎠᏓᏗᏅᏗᎭ* ᏍᏆᏞᏍᏗ.,ná alà:sgali̋:sgi sda̋:ya *à:dadǐ:nv̂:dǐ:ha* sgwà:hle̋:sdi,The ball player is *bouncing* the ball hard.,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED
10.6,ᎤᏓᏗᏅᏙᏗ,10,ᎤᏓᏗᏅᏙᏗ,udadinvdohdi,u-da-di-nv-do-di,udạdǐnv̂dọhdi,u:dadǐ:nv̂:dohdi,verb (v.i.),ᏛᎪᏏᏏᏍᎬᎢ (v.i.) ,3rd person singular infinitive,,to bounce something,,,,,,,,,,,,,,,,,,,bounce,,,,,,,,,,,,,Sentence_for_entry_0010.m4a,Ꮎ ᎠᎳᏍᎦᎵᏍᎩ ᏍᏓᏯ *ᎠᏓᏗᏅᏗᎭ* ᏍᏆᏞᏍᏗ.,ná alà:sgali̋:sgi sda̋:ya *à:dadǐ:nv̂:dǐ:ha* sgwà:hle̋:sdi,The ball player is *bouncing* the ball hard.,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED
11.1,ᎠᏓᏠᎯᎭ,11,ᎠᏓᏠᎯᎭ,adadlohiha,a-da-tlo-hi-ha,àdádlohị́ha,à:dá:dlo:híha,verb (v.i.),ᏛᎪᏏᏏᏍᎬᎢ (v.i.) ,3rd person singular,,he/she is putting on a belt,,,,,,,,,,,,,,,,,,,belt,put on,,,,,,,,,,,,Sentence_for_entry_0011.m4a,ᎤᏬᏚᎯ ᎠᏓᏠᏍᏗ *ᎤᏓᏠᏢᎢ* ᏗᎦᏚᎲ ᎤᏪᎾ.,uwo:dű:hi adà:dlǒ:sdi *ù:dá:dlo:hlv̌:’i* diga:dú:hv̋ ù:we̋:na,*She put on* a pretty *belt *when she went to town.,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED
11.2,ᎦᏓᏠᎯᎭ,11,ᎦᏓᏠᎯᎭ,gadadlohiha,ga-da-tlo-hi-ha,gạdádlohị́ha,gadá:dlo:híha,verb (v.i.),ᏛᎪᏏᏏᏍᎬᎢ (v.i.) ,1st person singular with animate/ inanimate object,,I’m putting on a belt,,,,,,,,,,,,,,,,,,,belt,put on,,,,,,,,,,,,Sentence_for_entry_0011.m4a,ᎤᏬᏚᎯ ᎠᏓᏠᏍᏗ *ᎤᏓᏠᏢᎢ* ᏗᎦᏚᎲ ᎤᏪᎾ.,uwo:dű:hi adà:dlǒ:sdi *ù:dá:dlo:hlv̌:’i* diga:dú:hv̋ ù:we̋:na,*She put on* a pretty *belt *when she went to town.,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED
11.3,ᎤᏓᏠᏢᎢ,11,ᎤᏓᏠᏢᎢ,udadlohlv’i,u-da-tlo-tlv-i,ùdádlohlv̌’i,ù:dá:dlo:hlv̌:’i,verb (v.i.),ᏛᎪᏏᏏᏍᎬᎢ (v.i.) ,3rd person singular non-progressive remote past tense,,he/she put on a belt,,,,,,,,,,,,,,,,,,,belt,put on,,,,,,,,,,,Word_0011.3.m4a,Sentence_for_entry_0011.m4a,ᎤᏬᏚᎯ ᎠᏓᏠᏍᏗ *ᎤᏓᏠᏢᎢ* ᏗᎦᏚᎲ ᎤᏪᎾ.,uwo:dű:hi adà:dlǒ:sdi *ù:dá:dlo:hlv̌:’i* diga:dú:hv̋ ù:we̋:na,*She put on* a pretty *belt *when she went to town.,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED
11.4,ᎠᏓᏠᎯᎰᎢ,11,ᎠᏓᏠᎯᎰᎢ,adadlohiho’i,a-da-tlo-hi-ho-i,àdádlohịhó’i,à:dá:dlo:hihó:’i,verb (v.i.),ᏛᎪᏏᏏᏍᎬᎢ (v.i.) ,3rd person singular present habitual,,he/she puts on a belt,,,,,,,,,,,,,,,,,,,belt,put on,,,,,,,,,,,,Sentence_for_entry_0011.m4a,ᎤᏬᏚᎯ ᎠᏓᏠᏍᏗ *ᎤᏓᏠᏢᎢ* ᏗᎦᏚᎲ ᎤᏪᎾ.,uwo:dű:hi adà:dlǒ:sdi *ù:dá:dlo:hlv̌:’i* diga:dú:hv̋ ù:we̋:na,*She put on* a pretty *belt *when she went to town.,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED
11.5,ᎭᏓᏠᎦ,11,ᎭᏓᏠᎦ,hadadloga,ha-da-tlo-ga,hạdàdlǒga,hadà:dlǒ:ga,verb (v.i.),ᏛᎪᏏᏏᏍᎬᎢ (v.i.) ,imperative with animate/ inanimate direct objects,,put on a belt!,,,,,,,,,,,,,,,,,,,belt,put on,,,,,,,,,,,,Sentence_for_entry_0011.m4a,ᎤᏬᏚᎯ ᎠᏓᏠᏍᏗ *ᎤᏓᏠᏢᎢ* ᏗᎦᏚᎲ ᎤᏪᎾ.,uwo:dű:hi adà:dlǒ:sdi *ù:dá:dlo:hlv̌:’i* diga:dú:hv̋ ù:we̋:na,*She put on* a pretty *belt *when she went to town.,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED
11.6,ᎤᏓᏠᏍᏗ,11,ᎤᏓᏠᏍᏗ,udadlosdi,u-da-tlo-s-di,udàdlǒsdi,u:dà:dlǒ:sdi,verb (v.i.),ᏛᎪᏏᏏᏍᎬᎢ (v.i.) ,3rd person singular infinitive,,to put on a belt,,,,,,,,,,,,,,,,,,,belt,put on,,,,,,,,,,,,Sentence_for_entry_0011.m4a,ᎤᏬᏚᎯ ᎠᏓᏠᏍᏗ *ᎤᏓᏠᏢᎢ* ᏗᎦᏚᎲ ᎤᏪᎾ.,uwo:dű:hi adà:dlǒ:sdi *ù:dá:dlo:hlv̌:’i* diga:dú:hv̋ ù:we̋:na,*She put on* a pretty *belt *when she went to town.,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED
12.1,ᎠᏓᏠᏍᏗ,12,ᎠᏓᏠᏍᏗ,adadlosdi,a-da-tlo-s-di,ạdàdlǒsdi,adà:dlǒ:sdi,noun,ᎪᎱᏍᏗ ᏴᎧᏃᎮᎭ ,singular,,belt,,,,,,,,,,,,,,,,,,,belt,,,,,,,,,,,,Word_0012.1.m4a,Sentence_for_entry_0012.m4a,*ᎠᏓᏠᏍᏗ* ᎠᎩᏁᏒ ᏓᏂᏍᏓᏲᎯᎲᎢ.,*adà:dlǒ:sdi* à:giné:sv́: dà:ni:sdayo:hihv̋:’i,I got a *belt* for Christmas.,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED
12.2,ᏗᏓᏠᏍᏗ,12,ᏗᏓᏠᏍᏗ,didadlosdi,di-da-tlo-s-di,didàdlǒsdi,di:dà:dlǒ:sdi,noun,ᎪᎱᏍᏗ ᏴᎧᏃᎮᎭ ,plural,,belts,,,,,,,,,,,,,,,,,,,belt,,,,,,,,,,,,,Sentence_for_entry_0012.m4a,*ᎠᏓᏠᏍᏗ* ᎠᎩᏁᏒ ᏓᏂᏍᏓᏲᎯᎲᎢ.,*adà:dlǒ:sdi* à:giné:sv́: dà:ni:sdayo:hihv̋:’i,I got a *belt* for Christmas.,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED
13.1,ᎠᏓᏙᎵᏍᏗ,13,ᎠᏓᏙᎵᏍᏗ,adadolisdi,a-da-do-li-s-di,ạdadǒlîsdi,ada:dǒ:lî:sdi,noun,ᎪᎱᏍᏗ ᏴᎧᏃᎮᎭ ,singular,,prayer,,,,,,,,,,,,,,,,,,,prayer,pray,,,,,,,,,,,Word_0013.1.m4a,Sentence_for_entry_0013.m4a,*ᎠᏓᏙᎵᏍᏗ* ᎤᏔᏲᏢ ᎠᎵᏣᏙᎲᏍᎩ.,*ada:dǒ:lî:sdi* ù:tayo:hlv́ alhjadő:hvsgi,The preacher asked for *prayers.*,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED
