Index,Verb Number,Set,,Tense,Tense?,Subject,Object,Verb,Dupes,Cherokee,English,Syllabary,Stem,Stem Number,Is_Dupe,CED Entry,CED English,CED Sentence (Cherokee),CED Sentence (Syllabary),CED Sentence (English),CED Index,CED Link,Full Line,Tags,Notes
543,6,B,,Immediate Imperative/Volative,,First Dual Exclusive,Third Singular,"To Have Something Long and Rigid, like a stick, a shovel, etc.",We (another and I) will have something long & rigid (singular)@May we (another and I) have something long & rigid (singular)!@May we (another and I) have something long & rigid (singular) right now!,oginvyesdi,May we (another and I) have something long & rigid (singular) right now!,ᎣᎩᏅᏰᏍᏗ,-vy-esdi,IV,3,uwaya,he has a long object,Galogwe usvdena *agwvya*.,ᎦᎶᏇ ᎤᏒᏕᎾ *ᎠᏋᏯ*.,*I have* a shotgun.,1944,https://cherokeedictionary.net/share/73976,First Dual Exclusive: “May we (another and I) have something long & rigid (singular) right now!”/“May we (another and I) have multiple long & rigid things right now!” oginvyesdi/doginvyesdi ᎣᎩᏅᏰᏍᏗ/ᏙᎩᏅᏰᏍᏗ,Imperative transitive P_1d-ex VERB_C::uwaya VERB_E::To_Have_Something_Long_and_Rigid,
544,6,B,,Immediate Imperative/Volative,,First Dual Exclusive,Third Plural,"To Have Something Long and Rigid, like a stick, a shovel, etc.",May we (another and I) have multiple long & rigid things!@May we (another and I) have multiple long & rigid things right now!,doginvyesdi,May we (another and I) have multiple long & rigid things right now!,ᏙᎩᏅᏰᏍᏗ,-vy-esdi,IV,2,uwaya,he has a long object,Galogwe usvdena *agwvya*.,ᎦᎶᏇ ᎤᏒᏕᎾ *ᎠᏋᏯ*.,*I have* a shotgun.,1944,https://cherokeedictionary.net/share/73976,First Dual Exclusive: “May we (another and I) have something long & rigid (singular) right now!”/“May we (another and I) have multiple long & rigid things right now!” oginvyesdi/doginvyesdi ᎣᎩᏅᏰᏍᏗ/ᏙᎩᏅᏰᏍᏗ,Imperative transitive P_1d-ex VERB_C::uwaya VERB_E::To_Have_Something_Long_and_Rigid,
545,6,B,,Immediate Imperative/Volative,,First Plural Exclusive,Third Singular,"To Have Something Long and Rigid, like a stick, a shovel, etc.",We (others and I) will have something long & rigid (singular)@May we (others and I) have something long & rigid (singular)!@May we (others and I) have something long & rigid (singular) right now!,ogvyesdi,May we (others and I) have something long & rigid (singular) right now!,ᎣᎬᏰᏍᏗ,-vy-esdi,IV,3,uwaya,he has a long object,Galogwe usvdena *agwvya*.,ᎦᎶᏇ ᎤᏒᏕᎾ *ᎠᏋᏯ*.,*I have* a shotgun.,1944,https://cherokeedictionary.net/share/73976,First Plural Exclusive: “May we (others and I) have something long & rigid (singular) right now!”/“May we (others and I) have multiple long & rigid things right now!” ogvyesdi/dogvyesdi ᎣᎬᏰᏍᏗ/ᏙᎬᏰᏍᏗ,Imperative transitive P_1p-ex VERB_C::uwaya VERB_E::To_Have_Something_Long_and_Rigid,
546,6,B,,Immediate Imperative/Volative,,First Plural Exclusive,Third Plural,"To Have Something Long and Rigid, like a stick, a shovel, etc.",We (others and I) will have multiple long & rigid things@May we (others and I) have multiple long & rigid things!@May we (others and I) have multiple long & rigid things right now!,dogvyesdi,May we (others and I) have multiple long & rigid things right now!,ᏙᎬᏰᏍᏗ,-vy-esdi,IV,3,uwaya,he has a long object,Galogwe usvdena *agwvya*.,ᎦᎶᏇ ᎤᏒᏕᎾ *ᎠᏋᏯ*.,*I have* a shotgun.,1944,https://cherokeedictionary.net/share/73976,First Plural Exclusive: “May we (others and I) have something long & rigid (singular) right now!”/“May we (others and I) have multiple long & rigid things right now!” ogvyesdi/dogvyesdi ᎣᎬᏰᏍᏗ/ᏙᎬᏰᏍᏗ,Imperative transitive P_1p-ex VERB_C::uwaya VERB_E::To_Have_Something_Long_and_Rigid,
547,6,B,,Immediate Imperative/Volative,,First Plural Inclusive,Third Singular,"To Have Something Long and Rigid, like a stick, a shovel, etc.",We (you and I and another or others) will have something long & rigid (singular)@May we (you and I and another or others) have something long & rigid (singular)!@May we (you and I and another or others) have something long & rigid (singular) right now!,igvyesdi,May we (you and I and another or others) have something long & rigid (singular) right now!,ᎢᎬᏰᏍᏗ,-vy-esdi,IV,3,uwaya,he has a long object,Galogwe usvdena *agwvya*.,ᎦᎶᏇ ᎤᏒᏕᎾ *ᎠᏋᏯ*.,*I have* a shotgun.,1944,https://cherokeedictionary.net/share/73976,First Plural Inclusive: “May we (you and I and another or others) have something long & rigid (singular) right now!”/“May we (you and I and another or others) have multiple long & rigid things right now!” igvyesdi/degvyesdi ᎢᎬᏰᏍᏗ/ᏕᎬᏰᏍᏗ,Imperative transitive P_1p-in VERB_C::uwaya VERB_E::To_Have_Something_Long_and_Rigid,
548,6,B,,Immediate Imperative/Volative,,First Plural Inclusive,Third Plural,"To Have Something Long and Rigid, like a stick, a shovel, etc.",We (you and I and another or others) will have multiple long & rigid things@May we (you and I and another or others) have multiple long & rigid things!@May we (you and I and another or others) have multiple long & rigid things right now!,degvyesdi,May we (you and I and another or others) have multiple long & rigid things right now!,ᏕᎬᏰᏍᏗ,-vy-esdi,IV,3,uwaya,he has a long object,Galogwe usvdena *agwvya*.,ᎦᎶᏇ ᎤᏒᏕᎾ *ᎠᏋᏯ*.,*I have* a shotgun.,1944,https://cherokeedictionary.net/share/73976,First Plural Inclusive: “May we (you and I and another or others) have something long & rigid (singular) right now!”/“May we (you and I and another or others) have multiple long & rigid things right now!” igvyesdi/degvyesdi ᎢᎬᏰᏍᏗ/ᏕᎬᏰᏍᏗ,Imperative transitive P_1p-in VERB_C::uwaya VERB_E::To_Have_Something_Long_and_Rigid,
549,6,B,,Immediate Imperative/Volative,,Third Plural,Third Singular,"To Have Something Long and Rigid, like a stick, a shovel, etc.",They will have something long & rigid (singular)@May they have something long & rigid (singular)!@May they have something long & rigid (singular) right now!,unvyesdi,May they have something long & rigid (singular) right now!,ᎤᏅᏰᏍᏗ,-vy-esdi,IV,3,uwaya,he has a long object,Galogwe usvdena *agwvya*.,ᎦᎶᏇ ᎤᏒᏕᎾ *ᎠᏋᏯ*.,*I have* a shotgun.,1944,https://cherokeedictionary.net/share/73976,Third Plural Form: “May they have something long & rigid (singular) right now!”/“May they have multiple long & rigid things right now!” unvyesdi/dunvyesdi ᎤᏅᏰᏍᏗ/ᏚᏅᏰᏍᏗ,Imperative transitive P_3p VERB_C::uwaya VERB_E::To_Have_Something_Long_and_Rigid,
550,6,B,,Immediate Imperative/Volative,,Third Plural,Third Plural,"To Have Something Long and Rigid, like a stick, a shovel, etc.",They will have multiple long & rigid things@May they have multiple long & rigid things!@May they have multiple long & rigid things right now!,dunvyesdi,May they have multiple long & rigid things right now!,ᏚᏅᏰᏍᏗ,-vy-esdi,IV,3,uwaya,he has a long object,Galogwe usvdena *agwvya*.,ᎦᎶᏇ ᎤᏒᏕᎾ *ᎠᏋᏯ*.,*I have* a shotgun.,1944,https://cherokeedictionary.net/share/73976,Third Plural Form: “May they have something long & rigid (singular) right now!”/“May they have multiple long & rigid things right now!” unvyesdi/dunvyesdi ᎤᏅᏰᏍᏗ/ᏚᏅᏰᏍᏗ,Imperative transitive P_3p VERB_C::uwaya VERB_E::To_Have_Something_Long_and_Rigid,
551,6,B,,Immediate Past,XX,First Singular,Third Singular,"To Have Something Long and Rigid, like a stick, a shovel, etc.",I had something long & rigid (singular)@I had something long & rigid (singular),agwvyv’i,I had something long & rigid (singular),ᎠᏋᏴᎢ,-vy-v’i,IV,2,uwaya,he has a long object,Galogwe usvdena *agwvya*.,ᎦᎶᏇ ᎤᏒᏕᎾ *ᎠᏋᏯ*.,*I have* a shotgun.,1944,https://cherokeedictionary.net/share/73976,First Singular: “I had something long & rigid (singular)”/“I had multiple long & rigid things” agwvyv’i/dagwvyv’i ᎠᏋᏴᎢ/ᏓᏋᏴᎢ,Immediate transitive P_1s VERB_C::uwaya VERB_E::To_Have_Something_Long_and_Rigid,
552,6,B,,Immediate Past,XX,First Singular,Third Plural,"To Have Something Long and Rigid, like a stick, a shovel, etc.",I had multiple long & rigid things@I had multiple long & rigid things,dagwvyv’i,I had multiple long & rigid things,ᏓᏋᏴᎢ,-vy-v’i,IV,2,uwaya,he has a long object,Galogwe usvdena *agwvya*.,ᎦᎶᏇ ᎤᏒᏕᎾ *ᎠᏋᏯ*.,*I have* a shotgun.,1944,https://cherokeedictionary.net/share/73976,First Singular: “I had something long & rigid (singular)”/“I had multiple long & rigid things” agwvyv’i/dagwvyv’i ᎠᏋᏴᎢ/ᏓᏋᏴᎢ,Immediate transitive P_1s VERB_C::uwaya VERB_E::To_Have_Something_Long_and_Rigid,
553,6,B,,Immediate Past,XX,Second Singular,Third Singular,"To Have Something Long and Rigid, like a stick, a shovel, etc.",You had something long & rigid (singular)@You had something long & rigid (singular),tsvyv’i,You had something long & rigid (singular),ᏨᏴᎢ,-vy-v’i,IV,2,uwaya,he has a long object,Galogwe usvdena *agwvya*.,ᎦᎶᏇ ᎤᏒᏕᎾ *ᎠᏋᏯ*.,*I have* a shotgun.,1944,https://cherokeedictionary.net/share/73976,Second Singular: “You had something long & rigid (singular)”/“You had multiple long & rigid things” tsvyv’i/detsvyv’i ᏨᏴᎢ/ᏕᏨᏴᎢ,Immediate transitive P_2s VERB_C::uwaya VERB_E::To_Have_Something_Long_and_Rigid,
554,6,B,,Immediate Past,XX,Second Singular,Third Plural,"To Have Something Long and Rigid, like a stick, a shovel, etc.",You had multiple long & rigid things@You (more than two) had multiple long & rigid things@You had multiple long & rigid things@You (more than two) had multiple long & rigid things,detsvyv’i,You had multiple long & rigid things,ᏕᏨᏴᎢ,-vy-v’i,IV,4,uwaya,he has a long object,Galogwe usvdena *agwvya*.,ᎦᎶᏇ ᎤᏒᏕᎾ *ᎠᏋᏯ*.,*I have* a shotgun.,1944,https://cherokeedictionary.net/share/73976,Second Singular: “You had something long & rigid (singular)”/“You had multiple long & rigid things” tsvyv’i/detsvyv’i ᏨᏴᎢ/ᏕᏨᏴᎢ,Immediate transitive P_2s VERB_C::uwaya VERB_E::To_Have_Something_Long_and_Rigid,
555,6,B,,Immediate Past,XX,Third Singular,Third Singular,"To Have Something Long and Rigid, like a stick, a shovel, etc.",He/she/it had something long & rigid (singular)@He/she/it had something long & rigid (singular),uwayv’i,He/she/it had something long & rigid (singular),ᎤᏩᏴᎢ,-vy-v’i,IV,2,uwaya,he has a long object,Galogwe usvdena *agwvya*.,ᎦᎶᏇ ᎤᏒᏕᎾ *ᎠᏋᏯ*.,*I have* a shotgun.,1944,https://cherokeedictionary.net/share/73976,Third Singular: “He/she/it had something long & rigid (singular)”/“He/she/it had multiple long & rigid things” uwayv’i/duwayv’i ᎤᏩᏴᎢ/ᏚᏩᏴᎢ,Immediate transitive P_3s VERB_C::uwaya VERB_E::To_Have_Something_Long_and_Rigid,
556,6,B,,Immediate Past,XX,Third Singular,Third Plural,"To Have Something Long and Rigid, like a stick, a shovel, etc.",He/she/it had multiple long & rigid things@He/she/it had multiple long & rigid things,duwayv’i,He/she/it had multiple long & rigid things,ᏚᏩᏴᎢ,-vy-v’i,IV,2,uwaya,he has a long object,Galogwe usvdena *agwvya*.,ᎦᎶᏇ ᎤᏒᏕᎾ *ᎠᏋᏯ*.,*I have* a shotgun.,1944,https://cherokeedictionary.net/share/73976,Third Singular: “He/she/it had something long & rigid (singular)”/“He/she/it had multiple long & rigid things” uwayv’i/duwayv’i ᎤᏩᏴᎢ/ᏚᏩᏴᎢ,Immediate transitive P_3s VERB_C::uwaya VERB_E::To_Have_Something_Long_and_Rigid,
557,6,B,,Immediate Past,XX,Second Dual,Third Singular,"To Have Something Long and Rigid, like a stick, a shovel, etc.",You (two) had something long & rigid (singular)@You (two) had something long & rigid (singular),sdvyv’i,You (two) had something long & rigid (singular),ᏍᏛᏴᎢ,-vy-v’i,IV,2,uwaya,he has a long object,Galogwe usvdena *agwvya*.,ᎦᎶᏇ ᎤᏒᏕᎾ *ᎠᏋᏯ*.,*I have* a shotgun.,1944,https://cherokeedictionary.net/share/73976,Second Dual: “You (two) had something long & rigid (singular)”/“You (two) had multiple long & rigid things” sdvyv’i/desdvyv’i ᏍᏛᏴᎢ/ᏕᏍᏛᏴᎢ,Immediate transitive P_2d VERB_C::uwaya VERB_E::To_Have_Something_Long_and_Rigid,
558,6,B,,Immediate Past,XX,Second Dual,Third Plural,"To Have Something Long and Rigid, like a stick, a shovel, etc.",You (two) had multiple long & rigid things@You (two) had multiple long & rigid things,desdvyv’i,You (two) had multiple long & rigid things,ᏕᏍᏛᏴᎢ,-vy-v’i,IV,2,uwaya,he has a long object,Galogwe usvdena *agwvya*.,ᎦᎶᏇ ᎤᏒᏕᎾ *ᎠᏋᏯ*.,*I have* a shotgun.,1944,https://cherokeedictionary.net/share/73976,Second Dual: “You (two) had something long & rigid (singular)”/“You (two) had multiple long & rigid things” sdvyv’i/desdvyv’i ᏍᏛᏴᎢ/ᏕᏍᏛᏴᎢ,Immediate transitive P_2d VERB_C::uwaya VERB_E::To_Have_Something_Long_and_Rigid,
559,6,B,,Immediate Past,XX,Second Plural,Third Singular,"To Have Something Long and Rigid, like a stick, a shovel, etc.",You (more than two) had something long & rigid (singular)@You (more than two) had something long & rigid (singular),itsvyv’i,You (more than two) had something long & rigid (singular),ᎢᏨᏴᎢ,-vy-v’i,IV,2,uwaya,he has a long object,Galogwe usvdena *agwvya*.,ᎦᎶᏇ ᎤᏒᏕᎾ *ᎠᏋᏯ*.,*I have* a shotgun.,1944,https://cherokeedictionary.net/share/73976,Second Plural: “You (more than two) had something long & rigid (singular)”/“You (more than two) had multiple long & rigid things” itsvyv’i/detsvyv’i ᎢᏨᏴᎢ/ᏕᏨᏴᎢ,Immediate transitive P_2p VERB_C::uwaya VERB_E::To_Have_Something_Long_and_Rigid,
560,6,B,,Immediate Past,XX,Second Plural,Third Plural,"To Have Something Long and Rigid, like a stick, a shovel, etc.",You had multiple long & rigid things@You (more than two) had multiple long & rigid things@You had multiple long & rigid things@You (more than two) had multiple long & rigid things,detsvyv’i,You (more than two) had multiple long & rigid things,ᏕᏨᏴᎢ,-vy-v’i,IV,4,uwaya,he has a long object,Galogwe usvdena *agwvya*.,ᎦᎶᏇ ᎤᏒᏕᎾ *ᎠᏋᏯ*.,*I have* a shotgun.,1944,https://cherokeedictionary.net/share/73976,Second Plural: “You (more than two) had something long & rigid (singular)”/“You (more than two) had multiple long & rigid things” itsvyv’i/detsvyv’i ᎢᏨᏴᎢ/ᏕᏨᏴᎢ,Immediate transitive P_2p VERB_C::uwaya VERB_E::To_Have_Something_Long_and_Rigid,
561,6,B,,Immediate Past,XX,First Dual Inclusive,Third Singular,"To Have Something Long and Rigid, like a stick, a shovel, etc.",We (you and I) had something long & rigid (singular)@We (you and I) had something long & rigid (singular),ginvyv’i,We (you and I) had something long & rigid (singular),ᎩᏅᏴᎢ,-vy-v’i,IV,2,uwaya,he has a long object,Galogwe usvdena *agwvya*.,ᎦᎶᏇ ᎤᏒᏕᎾ *ᎠᏋᏯ*.,*I have* a shotgun.,1944,https://cherokeedictionary.net/share/73976,First Dual Inclusive: “We (you and I) had something long & rigid (singular)”/“We (you and I) had multiple long & rigid things” ginvyv’i/deginvyv’i ᎩᏅᏴᎢ/ᏕᎩᏅᏴᎢ,Immediate transitive P_1d-in VERB_C::uwaya VERB_E::To_Have_Something_Long_and_Rigid,
562,6,B,,Immediate Past,XX,First Dual Inclusive,Third Plural,"To Have Something Long and Rigid, like a stick, a shovel, etc.",We (you and I) had multiple long & rigid things@We (you and I) had multiple long & rigid things,deginvyv’i,We (you and I) had multiple long & rigid things,ᏕᎩᏅᏴᎢ,-vy-v’i,IV,2,uwaya,he has a long object,Galogwe usvdena *agwvya*.,ᎦᎶᏇ ᎤᏒᏕᎾ *ᎠᏋᏯ*.,*I have* a shotgun.,1944,https://cherokeedictionary.net/share/73976,First Dual Inclusive: “We (you and I) had something long & rigid (singular)”/“We (you and I) had multiple long & rigid things” ginvyv’i/deginvyv’i ᎩᏅᏴᎢ/ᏕᎩᏅᏴᎢ,Immediate transitive P_1d-in VERB_C::uwaya VERB_E::To_Have_Something_Long_and_Rigid,
563,6,B,,Immediate Past,XX,First Dual Exclusive,Third Singular,"To Have Something Long and Rigid, like a stick, a shovel, etc.",We (another and I) had something long & rigid (singular)@We (another and I) had something long & rigid (singular),oginvyv’i,We (another and I) had something long & rigid (singular),ᎣᎩᏅᏴᎢ,-vy-v’i,IV,2,uwaya,he has a long object,Galogwe usvdena *agwvya*.,ᎦᎶᏇ ᎤᏒᏕᎾ *ᎠᏋᏯ*.,*I have* a shotgun.,1944,https://cherokeedictionary.net/share/73976,First Dual Exclusive: “We (another and I) had something long & rigid (singular)”/“We (another and I) had multiple long & rigid things” oginvyv’i/doginvyv’i ᎣᎩᏅᏴᎢ/ᏙᎩᏅᏴᎢ,Immediate transitive P_1d-ex VERB_C::uwaya VERB_E::To_Have_Something_Long_and_Rigid,
564,6,B,,Immediate Past,XX,First Dual Exclusive,Third Plural,"To Have Something Long and Rigid, like a stick, a shovel, etc.",We (another and I) had multiple long & rigid things@We (another and I) had multiple long & rigid things,doginvyv’i,We (another and I) had multiple long & rigid things,ᏙᎩᏅᏴᎢ,-vy-v’i,IV,2,uwaya,he has a long object,Galogwe usvdena *agwvya*.,ᎦᎶᏇ ᎤᏒᏕᎾ *ᎠᏋᏯ*.,*I have* a shotgun.,1944,https://cherokeedictionary.net/share/73976,First Dual Exclusive: “We (another and I) had something long & rigid (singular)”/“We (another and I) had multiple long & rigid things” oginvyv’i/doginvyv’i ᎣᎩᏅᏴᎢ/ᏙᎩᏅᏴᎢ,Immediate transitive P_1d-ex VERB_C::uwaya VERB_E::To_Have_Something_Long_and_Rigid,
565,6,B,,Immediate Past,XX,First Plural Exclusive,Third Singular,"To Have Something Long and Rigid, like a stick, a shovel, etc.",We (others and I) had something long & rigid (singular)@We (others and I) had something long & rigid (singular),ogvyv’i,We (others and I) had something long & rigid (singular),ᎣᎬᏴᎢ,-vy-v’i,IV,2,uwaya,he has a long object,Galogwe usvdena *agwvya*.,ᎦᎶᏇ ᎤᏒᏕᎾ *ᎠᏋᏯ*.,*I have* a shotgun.,1944,https://cherokeedictionary.net/share/73976,First Plural Exclusive: “We (others and I) had something long & rigid (singular)”/“We (others and I) had multiple long & rigid things” ogvyv’i/dogvyv’i ᎣᎬᏴᎢ/ᏙᎬᏴᎢ,Immediate transitive P_1p-ex VERB_C::uwaya VERB_E::To_Have_Something_Long_and_Rigid,
566,6,B,,Immediate Past,XX,First Plural Exclusive,Third Plural,"To Have Something Long and Rigid, like a stick, a shovel, etc.",,dogvyv’i,We (others and I) had multiple long & rigid things,ᏙᎬᏴᎢ,-vy-v’i,IV,,uwaya,he has a long object,Galogwe usvdena *agwvya*.,ᎦᎶᏇ ᎤᏒᏕᎾ *ᎠᏋᏯ*.,*I have* a shotgun.,1944,https://cherokeedictionary.net/share/73976,First Plural Exclusive: “We (others and I) had something long & rigid (singular)”/“We (others and I) had multiple long & rigid things” ogvyv’i/dogvyv’i ᎣᎬᏴᎢ/ᏙᎬᏴᎢ,Immediate transitive P_1p-ex VERB_C::uwaya VERB_E::To_Have_Something_Long_and_Rigid,
567,6,B,,Immediate Past,XX,First Plural Inclusive,Third Singular,"To Have Something Long and Rigid, like a stick, a shovel, etc.",We (you and I and another or others) had something long & rigid (singular)@We (you and I and another or others) had something long & rigid (singular),igvyv’i,We (you and I and another or others) had something long & rigid (singular),ᎢᎬᏴᎢ,-vy-v’i,IV,2,uwaya,he has a long object,Galogwe usvdena *agwvya*.,ᎦᎶᏇ ᎤᏒᏕᎾ *ᎠᏋᏯ*.,*I have* a shotgun.,1944,https://cherokeedictionary.net/share/73976,First Plural Inclusive: “We (you and I and another or others) had something long & rigid (singular)”/“We (you and I and another or others) had multiple long & rigid things” igvyv’i/degvyv’i ᎢᎬᏴᎢ/ᏕᎬᏴᎢ,Immediate transitive P_1p-in VERB_C::uwaya VERB_E::To_Have_Something_Long_and_Rigid,
568,6,B,,Immediate Past,XX,First Plural Inclusive,Third Plural,"To Have Something Long and Rigid, like a stick, a shovel, etc.",We (you and I and another or others) had multiple long & rigid things@We (you and I and another or others) had multiple long & rigid things,degvyv’i,We (you and I and another or others) had multiple long & rigid things,ᏕᎬᏴᎢ,-vy-v’i,IV,2,uwaya,he has a long object,Galogwe usvdena *agwvya*.,ᎦᎶᏇ ᎤᏒᏕᎾ *ᎠᏋᏯ*.,*I have* a shotgun.,1944,https://cherokeedictionary.net/share/73976,First Plural Inclusive: “We (you and I and another or others) had something long & rigid (singular)”/“We (you and I and another or others) had multiple long & rigid things” igvyv’i/degvyv’i ᎢᎬᏴᎢ/ᏕᎬᏴᎢ,Immediate transitive P_1p-in VERB_C::uwaya VERB_E::To_Have_Something_Long_and_Rigid,
569,6,B,,Immediate Past,XX,Third Plural,Third Singular,"To Have Something Long and Rigid, like a stick, a shovel, etc.",They had something long & rigid (singular)@They had something long & rigid (singular),unvyv’i,They had something long & rigid (singular),ᎤᏅᏴᎢ,-vy-v’i,IV,2,uwaya,he has a long object,Galogwe usvdena *agwvya*.,ᎦᎶᏇ ᎤᏒᏕᎾ *ᎠᏋᏯ*.,*I have* a shotgun.,1944,https://cherokeedictionary.net/share/73976,Third Plural Form: “They had something long & rigid (singular)”/“They had multiple long & rigid things” unvyv’i/dunvyv’i ᎤᏅᏴᎢ/ᏚᏅᏴᎢ,Immediate transitive P_3p VERB_C::uwaya VERB_E::To_Have_Something_Long_and_Rigid,
570,6,B,,Immediate Past,XX,Third Plural,Third Plural,"To Have Something Long and Rigid, like a stick, a shovel, etc.",They had multiple long & rigid things@They had multiple long & rigid things,dunvyv’i,They had multiple long & rigid things,ᏚᏅᏴᎢ,-vy-v’i,IV,2,uwaya,he has a long object,Galogwe usvdena *agwvya*.,ᎦᎶᏇ ᎤᏒᏕᎾ *ᎠᏋᏯ*.,*I have* a shotgun.,1944,https://cherokeedictionary.net/share/73976,Third Plural Form: “They had something long & rigid (singular)”/“They had multiple long & rigid things” unvyv’i/dunvyv’i ᎤᏅᏴᎢ/ᏚᏅᏴᎢ,Immediate transitive P_3p VERB_C::uwaya VERB_E::To_Have_Something_Long_and_Rigid,
571,6,B,,Infinitive,,First Singular,Third Singular,"To Have Something Long and Rigid, like a stick, a shovel, etc.",,agwvyi iyulisdodi,For me to have something long & rigid (singular),ᎠᏋᏱᎢᏳᎵᏍᏙᏗ,-vy-i,V,,uwaya,he has a long object,Galogwe usvdena *agwvya*.,ᎦᎶᏇ ᎤᏒᏕᎾ *ᎠᏋᏯ*.,*I have* a shotgun.,1944,https://cherokeedictionary.net/share/73976,First Singular: “For me to have something long & rigid (singular)” agwvyi iyulisdodi ᎠᏋᏱ ᎢᏳᎵᏍᏙᏗ,Infinitive transitive P_1s VERB_C::uwaya VERB_E::To_Have_Something_Long_and_Rigid,
572,6,B,,Infinitive,,Second Singular,Third Singular,"To Have Something Long and Rigid, like a stick, a shovel, etc.",,tsvyi iyulisdodi,For you to have something long & rigid (singular),ᏨᏱᎢᏳᎵᏍᏙᏗ,-vy-i,V,,uwaya,he has a long object,Galogwe usvdena *agwvya*.,ᎦᎶᏇ ᎤᏒᏕᎾ *ᎠᏋᏯ*.,*I have* a shotgun.,1944,https://cherokeedictionary.net/share/73976,Second Singular: “For you to have something long & rigid (singular)” tsvyi iyulisdodi ᏨᏱ ᎢᏳᎵᏍᏙᏗ,Infinitive transitive P_2s VERB_C::uwaya VERB_E::To_Have_Something_Long_and_Rigid,
573,6,B,,Infinitive,,Third Singular,Third Singular,"To Have Something Long and Rigid, like a stick, a shovel, etc.",,uwayi iyulisdodi,For him/her/it to have something long & rigid (singular),ᎤᏩᏱᎢᏳᎵᏍᏙᏗ,-vy-i,V,,uwaya,he has a long object,Galogwe usvdena *agwvya*.,ᎦᎶᏇ ᎤᏒᏕᎾ *ᎠᏋᏯ*.,*I have* a shotgun.,1944,https://cherokeedictionary.net/share/73976,Third Singular: “For him/her/it to have something long & rigid (singular)” uwayi iyulisdodi ᎤᏩᏱ ᎢᏳᎵᏍᏙᏗ,Infinitive transitive P_3s VERB_C::uwaya VERB_E::To_Have_Something_Long_and_Rigid,
574,6,B,,Infinitive,,Second Dual,Third Singular,"To Have Something Long and Rigid, like a stick, a shovel, etc.",,sdvyi iyulisdodi,For you (two) to have something long & rigid (singular),ᏍᏛᏱᎢᏳᎵᏍᏙᏗ,-vy-i,V,,uwaya,he has a long object,Galogwe usvdena *agwvya*.,ᎦᎶᏇ ᎤᏒᏕᎾ *ᎠᏋᏯ*.,*I have* a shotgun.,1944,https://cherokeedictionary.net/share/73976,Second Dual: “For you (two) to have something long & rigid (singular)” sdvyi iyulisdodi ᏍᏛᏱ ᎢᏳᎵᏍᏙᏗ,Infinitive transitive P_2d VERB_C::uwaya VERB_E::To_Have_Something_Long_and_Rigid,
575,6,B,,Infinitive,,Second Plural,Third Singular,"To Have Something Long and Rigid, like a stick, a shovel, etc.",,itsvyi iyulisdodi,For you (more than two) to have something long & rigid (singular),ᎢᏨᏱᎢᏳᎵᏍᏙᏗ,-vy-i,V,,uwaya,he has a long object,Galogwe usvdena *agwvya*.,ᎦᎶᏇ ᎤᏒᏕᎾ *ᎠᏋᏯ*.,*I have* a shotgun.,1944,https://cherokeedictionary.net/share/73976,Second Plural: “For you (more than two) to have something long & rigid (singular)” itsvyi iyulisdodi ᎢᏨᏱ ᎢᏳᎵᏍᏙᏗ,Infinitive transitive P_2p VERB_C::uwaya VERB_E::To_Have_Something_Long_and_Rigid,
576,6,B,,Infinitive,,First Dual Inclusive,Third Singular,"To Have Something Long and Rigid, like a stick, a shovel, etc.",,ginvyi iyulisdodi,For us (you and I) to have something long & rigid (singular),ᎩᏅᏱᎢᏳᎵᏍᏙᏗ,-vy-i,V,,uwaya,he has a long object,Galogwe usvdena *agwvya*.,ᎦᎶᏇ ᎤᏒᏕᎾ *ᎠᏋᏯ*.,*I have* a shotgun.,1944,https://cherokeedictionary.net/share/73976,First Dual Inclusive: “For us (you and I) to have something long & rigid (singular)” ginvyi iyulisdodi ᎩᏅᏱ ᎢᏳᎵᏍᏙᏗ,Infinitive transitive P_1d-in VERB_C::uwaya VERB_E::To_Have_Something_Long_and_Rigid,
577,6,B,,Infinitive,,First Dual Exclusive,Third Singular,"To Have Something Long and Rigid, like a stick, a shovel, etc.",,oginvyi iyulisdodi,For us (another and I) to have something long & rigid (singular),ᎣᎩᏅᏱᎢᏳᎵᏍᏙᏗ,-vy-i,V,,uwaya,he has a long object,Galogwe usvdena *agwvya*.,ᎦᎶᏇ ᎤᏒᏕᎾ *ᎠᏋᏯ*.,*I have* a shotgun.,1944,https://cherokeedictionary.net/share/73976,First Dual Exclusive: “For us (another and I) to have something long & rigid (singular)” oginvyi iyulisdodi ᎣᎩᏅᏱ ᎢᏳᎵᏍᏙᏗ,Infinitive transitive P_1d-ex VERB_C::uwaya VERB_E::To_Have_Something_Long_and_Rigid,
578,6,B,,Infinitive,,First Plural Exclusive,Third Singular,"To Have Something Long and Rigid, like a stick, a shovel, etc.",,ogvyi iyulisdodi,For us (others and I) to have something long & rigid (singular),ᎣᎬᏱᎢᏳᎵᏍᏙᏗ,-vy-i,V,,uwaya,he has a long object,Galogwe usvdena *agwvya*.,ᎦᎶᏇ ᎤᏒᏕᎾ *ᎠᏋᏯ*.,*I have* a shotgun.,1944,https://cherokeedictionary.net/share/73976,First Plural Exclusive: “For us (others and I) to have something long & rigid (singular)” ogvyi iyulisdodi ᎣᎬᏱ ᎢᏳᎵᏍᏙᏗ,Infinitive transitive P_1p-ex VERB_C::uwaya VERB_E::To_Have_Something_Long_and_Rigid,
