Index,Verb Number,Set,,Tense,Tense?,Subject,Object,Verb,Dupes,Cherokee,English,Syllabary,Stem,Stem Number,Is_Dupe,CED Entry,CED English,CED Sentence (Cherokee),CED Sentence (Syllabary),CED Sentence (English),CED Index,CED Link,Full Line,Tags,Notes
1883,20,A,AC,Present Tense,,Second Singular,First Dual Exclusive,To See,You (singular) see someone else and me@You two see me@You two see someone else and me,sginigowtiha,You (singular) see someone else and me,ᏍᎩᏂᎪᏩᏘᎭ,-gowtih-a,I,3,agowhtiha,"he sees him, it",Hlas *hyigowhti*?,ᏝᏍ *ᏱᎪᏩᏘ*?,Don't *you see it*?,347,https://cherokeedictionary.net/share/72329,“You (singular) see someone else and me” sginigowtiha ᏍᎩᏂᎪᏩᏘᎭ,PresentTense transitive P_2s VERB_C::agowhtiha VERB_E::To_See,
1884,20,A,AC,Present Tense,,Second Singular,First Plural Exclusive,To See,You (singular) see others and me@You two see others and me@You (more than two) see me@You (more than two) see someone else and me,isgigowtiha,You (singular) see others and me,ᎢᏍᎩᎪᏩᏘᎭ,-gowtih-a,I,4,agowhtiha,"he sees him, it",Hlas *hyigowhti*?,ᏝᏍ *ᏱᎪᏩᏘ*?,Don't *you see it*?,347,https://cherokeedictionary.net/share/72329,“You (singular) see others and me” isgigowtiha ᎢᏍᎩᎪᏩᏘᎭ,PresentTense transitive P_2s VERB_C::agowhtiha VERB_E::To_See,
1885,20,A,AC,Present Tense,,Second Singular,Third Plural (animate),To See,,gahigowtiha,You (singular) see them,ᎦᎯᎪᏩᏘᎭ,-gowtih-a,I,,agowhtiha,"he sees him, it",Hlas *hyigowhti*?,ᏝᏍ *ᏱᎪᏩᏘ*?,Don't *you see it*?,347,https://cherokeedictionary.net/share/72329,“You (singular) see them” gahigowtiha ᎦᎯᎪᏩᏘᎭ,PresentTense transitive P_2s VERB_C::agowhtiha VERB_E::To_See,
1886,20,A,AC,Present Tense,,Second Singular,Third Plural (inanimate),To See,,dehigowtiha,You (singular) see those things,ᏕᎯᎪᏩᏘᎭ,-gowtih-a,I,,agowhtiha,"he sees him, it",Hlas *hyigowhti*?,ᏝᏍ *ᏱᎪᏩᏘ*?,Don't *you see it*?,347,https://cherokeedictionary.net/share/72329,“You (singular) see those things” dehigowtiha ᏕᎯᎪᏩᏘᎭ,PresentTense transitive P_2s VERB_C::agowhtiha VERB_E::To_See,
1887,20,A,AC,Present Tense,,Third Singular,First Singular,To See,,agigowtiha,He/she sees me,ᎠᎩᎪᏩᏘᎭ,-gowtih-a,I,,agowhtiha,"he sees him, it",Hlas *hyigowhti*?,ᏝᏍ *ᏱᎪᏩᏘ*?,Don't *you see it*?,347,https://cherokeedictionary.net/share/72329,“He/she sees me” agigowtiha ᎠᎩᎪᏩᏘᎭ,PresentTense transitive P_3s VERB_C::agowhtiha VERB_E::To_See,
1888,20,A,AC,Present Tense,,Third Singular,Second Singular,To See,,tsagowtiha,He/she sees you (singular),ᏣᎪᏩᏘᎭ,-gowtih-a,I,,agowhtiha,"he sees him, it",Hlas *hyigowhti*?,ᏝᏍ *ᏱᎪᏩᏘ*?,Don't *you see it*?,347,https://cherokeedictionary.net/share/72329,“He/she sees you (singular)” tsagowtiha ᏣᎪᏩᏘᎭ,PresentTense transitive P_3s VERB_C::agowhtiha VERB_E::To_See,
1889,20,A,AC,Present Tense,,Third Singular,Third Singular (animate),To See,He/she sees him/her@He/she sees it,agowtiha,He/she sees him/her,ᎠᎪᏩᏘᎭ,-gowtih-a,I,2,agowhtiha,"he sees him, it",Hlas *hyigowhti*?,ᏝᏍ *ᏱᎪᏩᏘ*?,Don't *you see it*?,347,https://cherokeedictionary.net/share/72329,“He/she sees him/her” agowtiha ᎠᎪᏩᏘᎭ,PresentTense transitive P_3s VERB_C::agowhtiha VERB_E::To_See,
1890,20,A,AC,Present Tense,,Third Singular,Third Singular (inanimate),To See,He/she sees him/her@He/she sees it,agowtiha,He/she sees it,ᎠᎪᏩᏘᎭ,-gowtih-a,I,2,agowhtiha,"he sees him, it",Hlas *hyigowhti*?,ᏝᏍ *ᏱᎪᏩᏘ*?,Don't *you see it*?,347,https://cherokeedictionary.net/share/72329,“He/she sees it” agowtiha ᎠᎪᏩᏘᎭ,PresentTense transitive P_3s VERB_C::agowhtiha VERB_E::To_See,
1891,20,A,AC,Present Tense,,Third Singular,First Dual Inclusive,To See,,ginigowtiha,He/she sees you and me,ᎩᏂᎪᏩᏘᎭ,-gowtih-a,I,,agowhtiha,"he sees him, it",Hlas *hyigowhti*?,ᏝᏍ *ᏱᎪᏩᏘ*?,Don't *you see it*?,347,https://cherokeedictionary.net/share/72329,“He/she sees you and me” ginigowtiha ᎩᏂᎪᏩᏘᎭ,PresentTense transitive P_3s VERB_C::agowhtiha VERB_E::To_See,
1892,20,A,AC,Present Tense,,Third Singular,First Dual Exclusive,To See,,oginigowtiha,He/she sees someone else and me,ᎣᎩᏂᎪᏩᏘᎭ,-gowtih-a,I,,agowhtiha,"he sees him, it",Hlas *hyigowhti*?,ᏝᏍ *ᏱᎪᏩᏘ*?,Don't *you see it*?,347,https://cherokeedictionary.net/share/72329,“He/she sees someone else and me” oginigowtiha ᎣᎩᏂᎪᏩᏘᎭ,PresentTense transitive P_3s VERB_C::agowhtiha VERB_E::To_See,
