sentence_id,base_form_id,word_index,source,source file,gloss_syllabary,gloss_phonetic,gloss_english
683fb0c7a2d6,34a3907adc2a83db,4,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,,,humpbacked
979f63f9c40d,fa433736ac596a0f,0,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎧᎶᏪᎩᏗ,kalò:wě:kdi,Locusts
95bde58e63b4,62cbdd7b70621826,2,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᏭᏕᎵᎪ,wù:dé:lì:gó,goes out of sight
0ab5ee483525,55de0aaf4826ad6c,2,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎤᏚᏥ?,u:du:ji,his uncle
d7e01ab162d2,345f100f118be488,2,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎤᏩᏩᏒᎦ,ù:wa:wsv̂:ga,he smells
f06e1b37587d,4c14c0fec6b8e32b,1,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎠᏂᎨᏳᏣ,ani:gě:hyű:ja,girls
f8af6f253267,3e7ed5419a8bc11a,3,rrd,lily-dict.csv,ᎦᎸᎶᎢ,,the heavens
cd062453e666,7a7632b71c4555d8,0,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎤᏅᏉᎳᏛ,u:nv:kwoltv̋:,rainbow
13f9fbe45d02,681b60e8f399ee5d,0,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎩᎳ,kila̋:,early 
2a193b079313,ac799ad78fa89eb8,3,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎠᎵᏍᏚᎶ?,alsdu:ló,cap?
c7a239f3e4f8,90084d3bf8f761f2,1,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎭᏍᎪᎵᏯ,hasgo:lǐ:yâ,Rub
41296ab747f7,433327b768d8d3ba,1,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎤᎨᏳᎿ,u:ge:yű:hna,stingy.
ea5565f3b632,7547681bd11d10a5,5,rrd,lily-dict.csv,ᎠᏍᏓᏱᏗᏍᎪᎢ,,He doth harden
778729a32129,1aef793f5fb1ff71,3,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎠᏝᏫᏗᏍᎪᎢ.,à:hlawi:dǐ:sgó:'i,it flies away.
d4b994ef4a77,12be7ae8f950f3c6,0,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᏍᏓᏯ,sda̋:ya,hard.
0316461db562,6e036f66304e6533,0,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎠᏍᎦᏰᎬᏍᏓ,asgayegv̋:sda,handsome.
