merged_id,normalized_key,source,count,forms
b18dc568fa153220,2s|3a|imperative,cn-app-dictionary.csv,2,"ᎯᏁᎦᎳ / hinegala [peel him/her!, skin him/her!] {sub: imperative with animate direct objects} ; ᎯᏁᎦᎳ / hinegala [peel it!, skin it!] {sub: imperative with animate/ inanimate direct objects}"
78ce090fd5c8c598,2s|3a|imperative,cn-app-dictionary.csv,2,ᎯᎾᏌᎾᎩ / hinasanagi [pull him/her!] {sub: imperative with animate direct objects} ; ᎯᎾᏌᎾᎩ / hinsanagi [pull it!] {sub: imperative with animate/ inanimate direct objects}
f6b072b1e2e3e697,2s|3a|imperative,cn-app-dictionary.csv,2,ᎯᎾᏏᏄᎦ / hinasinuga [drag him/her!] {sub: imperative with animate direct objects} ; ᎯᎾᏏᏄᎦ / hinsinuga [drag it!; tow it!] {sub: imperative with animate/ inanimate direct objects}
9a91a88eb59eebd4,2s|3a|imperative,cn-app-dictionary.csv,2,ᎯᏄᏖᏯᎦ / hinuteyaga [twist him/her!] {sub: imperative with animate direct objects} ; ᎯᏄᏖᏯᎦ / hinuteyaga [twist it!] {sub: imperative with animate/ inanimate direct objects}
8f958b44bb7b8172,2s|3a|imperative,cn-app-dictionary.csv,2,"ᎯᏅᏓ / hinvda [miss him/her!, refers to as a target] {sub: imperative with animate direct objects} ; ᎯᏅᏓ / hinvda [miss it!, refers to as a target] {sub: imperative with animate/ inanimate direct objects}"
70dd58ca41ffe6c1,2s|3a|imperative,cn-app-dictionary.csv,2,ᎯᏅᎦᎳ / hinvgala [clean him/her!] {sub: imperative with animate direct objects} ; ᎯᏅᎦᎳ / hinvgala [clean it!] {sub: imperative with animate/ inanimate direct objects}
d9b9ad4843b1ab63,2s|3a|imperative,cn-app-dictionary.csv,2,ᎯᏅᏠᎦ / hinvhloga [tie up a leg!] {sub: imperative with animate direct objects} ; ᎯᏅᏠᎦ / hinvhloga [apply the brake!] {sub: imperative with animate/ inanimate direct objects}
c2d32a9726e5848a,2s|3a|imperative,cn-app-dictionary.csv,2,ᎯᏯᏌᏙᏯ / hiyasadohya [push him/her!] {sub: imperative with animate direct objects} ; ᎯᏌᏙᏯ / hisadohya [push it!] {sub: imperative with animate/ inanimate direct objects}
36b8df365c9fd2ab,2s|3a|imperative,cn-app-dictionary.csv,2,ᎯᏯᏌᏆᎴᎦ / hiyasagwalega [roll him/her!] {sub: imperative with animate direct objects} ; ᎯᏌᏆᎴᎦ / hisagwalega [roll it!] {sub: imperative with animate/ inanimate direct objects}
9c53d5cd56699eaa,2s|3a|imperative,cn-app-dictionary.csv,2,ᎯᏯᏘᎦ / hiyatiga [stab him/her!] {sub: imperative with animate direct objects} ; ᎯᏘᎦ / hitiga [stab it!] {sub: imperative with animate/ inanimate direct objects}
179e9ed52d797edd,2s|3a|imperative,cn-app-dictionary.csv,2,ᎯᏳᏓᎳᎩ / hiyudalagi [unhitch him/her!] {sub: imperative with animate direct objects} ; ᎱᏓᎳᎩ / hudalagi [unhitch it!; unhook it!; unplug it!] {sub: imperative with animate/ inanimate direct objects}
33d1f06ceebcc22f,2s|3a|imperative,cn-app-dictionary.csv,2,ᎯᏳᏓᎸᎥᎦ / hiyudalv'vga [hitch him/her up!] {sub: imperative with animate direct objects} ; ᎱᏓᎸᎥᎦ / hudalv'vga [hitch it up!; hook it up!; plug it in!] {sub: imperative with animate/ inanimate direct objects}
52b0a4c5f24cf186,2s|3a|imperative,cn-app-dictionary.csv,2,ᎯᏳᏔᎩ / hiyutagi [pick him/her up!] {sub: imperative with animate direct objects} ; ᎱᏔᎩ / hutagi [pick it up!] {sub: imperative with animate/ inanimate direct objects}
eeca3dc45019a57c,2s|3a|imperative,cn-app-dictionary.csv,2,ᎯᏴᏂᎦ / hiyvniga [hit him/her!; strike him/her!] {sub: imperative with animate direct objects} ; ᎲᏂᎦ / hvnhga [hit it!; strike it!] {sub: imperative with animate/ inanimate direct objects}
e8ac932ab9cde7ba,2s|3a|imperative,cn-app-dictionary.csv,2,"ᎯᏴᏍᎦᎸᎥᎦ / hiyvsgalv'vga [hide him/her!, refers to a flexible object] {sub: imperative with animate direct objects} ; ᎲᏍᎦᎸᎥᎦ / hvsgalv'vga [hide it!, refers to a flexible object] {sub: imperative with animate/ inanimate direct objects}"
83f7d01aa24b0ea1,3s|3s|present,cn-app-dictionary.csv,2,ᎮᏍᏗ / hesdi [don't] ; ᏞᏍᏗ / hlesdi [don't]
53bd4e38035fade9,2s|3a|imperative,cn-app-dictionary.csv,2,ᎯᏃᎯᏯ / hinohiya [omit him/her!] {sub: imperative with animate direct objects} ; ᎯᏃᎯᏯ / hihnohiya [omit it!] {sub: imperative with animate/ inanimate direct objects}
39e1855bbb6b4fb1,2s|3a|imperative,cn-app-dictionary.csv,2,ᎯᏃᏴᎳ / hinoyvla [fan him/her!] {sub: imperative with animate direct objects} ; ᎯᏃᏴᎳ / hihnoyvla [fan it!] {sub: imperative with animate/ inanimate direct objects}
9f2491f3e4c17a82,2s|3a|imperative,cn-app-dictionary.csv,2,"ᎯᏅᏮᎦ / hinvwvga [cure him/her!, doctor him/her!; solder it!, weld it!] {sub: imperative with animate direct objects} ; ᎯᏅᏮᎦ / hihnvwvga [cure him/her!, doctor him/her!; solder it!, weld it!] {sub: imperative with animate/ inanimate direct objects}"
a7fe193e0b2c4406,2s|3a|imperative,cn-app-dictionary.csv,2,ᎯᎨᏳᏎᏍᏗ / higeyusesdi [take care of him/her!; love him/her!] {sub: imperative with animate direct objects} ; ᏣᎨᏳᏎᏍᏗ / jageyusesdi [take care of it!] {sub: imperative with animate/ inanimate direct objects}
d67172d399d59160,2s|3a|imperative,cn-app-dictionary.csv,2,ᎯᏯᎦᏎᏍᏕᏍᏗ / hiyagasesdesdi [watch him/her!; be careful!] {sub: imperative with animate direct objects} ; ᏣᎦᏎᏍᏕᏍᏗ / jaksesdesdi [watch him/her!] {sub: imperative with animate/ inanimate direct objects}
0bc18df2c8686866,2s|3a|imperative,cn-app-dictionary.csv,2,ᎯᎸᏉᏓ / hilvgwoda [like him/her!] {sub: imperative with animate direct objects} ; ᎯᎸᏉᏓ / hilvkwda [like it!] {sub: imperative with animate/ inanimate direct objects}
