sentence_id,syllabary,phonetic,english,sentence_notes,sources
2fa28d0aed0b,ᎤᏍᏆᏓ ᎪᏪᎵ ᏕᎪᏪᎵᏍᎬ‚ * ᎤᏓᏯᏍᏔᏅᎢ.*,ù:sgwá'da go:hwe:li de:gó:hwě:lî:sgv̋: * ù:da:hyâ:stanv̌:'i *,When he finished writing letters‚ *he stretched.*,,cn-app-dictionary.csv
6bcf74a80ebe,* ᎠᏓᏰᏍᎩ * ᎤᏢᎬ ᎠᏥᏅᏩᏅᎢ.,* ada:hye̋:sgi * ù:dlv́gv̋ à:jì:nv:wâ:nv̌:'i,He was cured of *cancer.*,,cn-app-dictionary.csv
2ad5ffcd4c0b,ᎤᏃᏍᎩᏒ ᎠᎫᎢᏍᏔᎾ. * ᎤᏓᏱᎸᎢ.*,u:no:sgí:sv̋: à:gu'i̋:stana * ù:dahyilv̌:'i *,When he was accused of stealing‚ *he denied it.*,,cn-app-dictionary.csv
34db0d437d94,*ᏥᏯᏓᏱᎭ*‚ Ꮭ ᏥᏲᎵᎦ ᏱᎩ.,*ji:dayíha* hla ji:yő:lì:ga yigi,*I am denying him‚* I just don't know him.,,cn-app-dictionary.csv
eba0d1c90114,ᏣᏁᎵᏁ ᏗᎧᏃᏩᏛᏍᏗ 'ᏞᏍᏗ * ᏣᏓᏲᏁᎸᎢ'* ᎠᏗᎭ.,chane:li:ne̋: dikanowadv́:sdi hlè:sdi * jada:hyo:ně:lv́:'i * à:dǐ:ha,The eighth commandment says‚ 'Thou shalt *not commit adultery.'*,,cn-app-dictionary.csv
dda3e57c13e3,ᎦᎸᏉᏗ ᎪᏪᎵ ᎠᏍᎦᎦ * ᎠᏓᏲᏁᏗ.*,galv̋:kwdi go:hwe:li à:sgâ:ga * ada:hyő:nehdi *,The Bible reproves *adultery.*,,cn-app-dictionary.csv
7ba6e5892f5f,ᏣᏂ ᎣᏍᏗ ᎧᏃᎮᏓ ᏣᏁᎵᏁ ᎠᏯᏙᏢ ᎠᏥᏁᎢᏍᏗ * ᎠᏓᏲᏁᎯ * ᎠᎨᏯ.,jǎ:ni ő:sdi kano:hě:da chane:li:ne̋: à:yâ:tohlv̋: à:jì:nê:sdí * ada:hyo:ne̋:hi * agě:hya,An *adulteress* is mentioned in chapter eight of the book of John.,,cn-app-dictionary.csv
7a23c42815bf,ᎤᏪᏘ ᎠᎿᏬ ᎠᎯᏓ ᎨᏐ * ᎤᏓᏣᎦᎵᏗ.*,uwe̋:ti ahnawó ahi̋:da gè:só * u:da:jagalhdi *,An old cloth is easy *to rip.*,,cn-app-dictionary.csv
d4bed5d02a59,ᎪᎱᏍᏗ ᎤᏍᏗ ᏥᎪᏯ * ᎠᏓᏨᎢᏍᎩ * ᎤᏩᏨᏴ ᎤᏬᏰᏂ.,go:hű:sdi ű:sdi tsgǒ:ya * ada:jv̋:ysgi * ù:wa:jv́:hya uwò:ye̋:ni,Some kind of a *stinging* bug stung him on his hand.,,cn-app-dictionary.csv
fef682b9a0ff,Ꮲ ᎤᏪᏅᏍᏗ ᏯᏛᏅᎢᏍᏗ * ᎠᏓᎨᏍᎪᎢ.*,hlv̋: uwe:nv̀:sdi̋ yadv́:nv'isdi̋: * à:da:kě:sgó:'i *,When he's getting ready to go somewhere‚ *he uses a mirror.*,,cn-app-dictionary.csv
