Index,Source,Source_Long,Entry,Syllabary,Part_of_Speech,PoS,PoS_Family,Definition,Definition_Long,Cross_Reference,Plural,Plural_Syllabary,Verb_1st_Present,Verb_1st_Present_Syllabary,Verb_3rd_Past,Verb_3rd_Past_Syllabary,Verb_3rd_Present_Habitual,Verb_3rd_Present_Habitual_Syllabary,Verb_2nd_Imperative,Verb_2nd_Imperative_Syllabary,Verb_3rd_Infinitive,Verb_3rd_Infinitive_Syllabary,Entry_Tone,Plural_Tone,Verb_1st_Present_Tone,Verb_3rd_Past_Tone,Verb_3rd_Present_Habitual_Tone,Verb_2nd_Imperative_Tone,Verb_3rd_Infinitive_Tone,Audio,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,banks,"Banks, William H. Jr. (1953), ""Ethnobotany of the Cherokee Indians. "" Master's Thesis, University of Tennessee","atsa equa, ditlasdegi sdequo","ᎠᏣ ᎡᏆ, ᏗᏝᏍᏕᎩ ᏍᏕᏉ",n,noun,noun,Gerardia virginica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,banks,"Banks, William H. Jr. (1953), ""Ethnobotany of the Cherokee Indians. "" Master's Thesis, University of Tennessee",daleda tsutano,ᏓᎴᏓ ᏧᏔᏃ,n,noun,noun,Linum usitatissimum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,banks,"Banks, William H. Jr. (1953), ""Ethnobotany of the Cherokee Indians. "" Master's Thesis, University of Tennessee",daloni,ᏓᎶᏂ,n,noun,noun,Rhus copallina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,banks,"Banks, William H. Jr. (1953), ""Ethnobotany of the Cherokee Indians. "" Master's Thesis, University of Tennessee",daloni,ᏓᎶᏂ,n,noun,noun,Coreopsis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,banks,"Banks, William H. Jr. (1953), ""Ethnobotany of the Cherokee Indians. "" Master's Thesis, University of Tennessee","daloni, ugugu so, unesdila equa","ᏓᎶᏂ, ᎤᎫᎫ Ꮠ, ᎤᏁᏍᏗᎳ ᎡᏆ",n,noun,noun,Solidago spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,banks,"Banks, William H. Jr. (1953), ""Ethnobotany of the Cherokee Indians. "" Master's Thesis, University of Tennessee","dalonige ganiquilisgi, unada akata, delonige dilasgi","ᏓᎶᏂᎨ ᎦᏂᏈᎵᏍᎩ, ᎤᎾᏓ ᎠᎧᏔ, ᏕᎶᏂᎨ ᏗᎳᏍᎩ",n,noun,noun,Helianthus spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,banks,"Banks, William H. Jr. (1953), ""Ethnobotany of the Cherokee Indians. "" Master's Thesis, University of Tennessee","dasawai, digasaquala tsuwaloga, soquili ulasidi","ᏓᏌᏩᎢ, ᏗᎦᏌᏆᎳ ᏧᏩᎶᎦ, ᏐᏈᎵ ᎤᎳᏏᏗ",n,noun,noun,Galax aphylla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,banks,"Banks, William H. Jr. (1953), ""Ethnobotany of the Cherokee Indians. "" Master's Thesis, University of Tennessee","dasiuwoyi, dokasi gotsitsi, oganu agadage","ᏓᏏᎤᏬᏱ, ᏙᎧᏏ ᎪᏥᏥ, ᎣᎦᏄ ᎠᎦᏓᎨ",n,noun,noun,Epigaea repens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,banks,"Banks, William H. Jr. (1953), ""Ethnobotany of the Cherokee Indians. "" Master's Thesis, University of Tennessee",dayewu,ᏓᏰᏭ,n,noun,noun,Cacalia atriplicifolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,banks,"Banks, William H. Jr. (1953), ""Ethnobotany of the Cherokee Indians. "" Master's Thesis, University of Tennessee",denvdasdasgi,ᏕᏅᏓᏍᏓᏍᎩ,n,noun,noun,Viola pedata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,banks,"Banks, William H. Jr. (1953), ""Ethnobotany of the Cherokee Indians. "" Master's Thesis, University of Tennessee","dgidgi, tsitsi, tgitgi tsunvsdi yusdi","dᎩdᎩ, ᏥᏥ, tᎩtᎩ ᏧᏅᏍᏗ ᏳᏍᏗ",n,noun,noun,Cirisium altissimum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,banks,"Banks, William H. Jr. (1953), ""Ethnobotany of the Cherokee Indians. "" Master's Thesis, University of Tennessee",digayasugi,ᏗᎦᏯᏑᎩ,n,noun,noun,Collinsonia canadensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,banks,"Banks, William H. Jr. (1953), ""Ethnobotany of the Cherokee Indians. "" Master's Thesis, University of Tennessee","dihiyesadigi, diyetsodisgi","ᏗᎯᏰᏌᏗᎩ, ᏗᏰᏦᏗᏍᎩ",n,noun,noun,Campanula divaricata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,banks,"Banks, William H. Jr. (1953), ""Ethnobotany of the Cherokee Indians. "" Master's Thesis, University of Tennessee","dinadaskadesgi, kanesi, anvdasquadesgi","ᏗᎾᏓᏍᎧᏕᏍᎩ, ᎧᏁᏏ, ᎠᏅᏓᏍᏆᏕᏍᎩ",n,noun,noun,Viola rotundifolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
