Index,Source,Source_Long,Entry,Syllabary,Part_of_Speech,PoS,PoS_Family,Definition,Definition_Long,Cross_Reference,Plural,Plural_Syllabary,Verb_1st_Present,Verb_1st_Present_Syllabary,Verb_3rd_Past,Verb_3rd_Past_Syllabary,Verb_3rd_Present_Habitual,Verb_3rd_Present_Habitual_Syllabary,Verb_2nd_Imperative,Verb_2nd_Imperative_Syllabary,Verb_3rd_Infinitive,Verb_3rd_Infinitive_Syllabary,Entry_Tone,Plural_Tone,Verb_1st_Present_Tone,Verb_3rd_Past_Tone,Verb_3rd_Present_Habitual_Tone,Verb_2nd_Imperative_Tone,Verb_3rd_Infinitive_Tone,Audio,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2423,cn,Cherokee Nation,nunelvdvi,ᏄᏁᎸᏛᎢ,,,,Trips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2424,cn,Cherokee Nation,nusdidanvi,ᏄᏍᏗᏓᏅᎢ,,,,Condition of things,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2425,cn,Cherokee Nation,nusdvagisdi,ᏄᏍᏛᎠᎩᏍᏗ,,,,Taste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2426,cn,Cherokee Nation,nusdvdikanodi,ᏄᏍᏛᏗᎧᏃᏗ,,,,Stand point,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2427,cn,Cherokee Nation,nusdvnahiyu,ᏄᏍᏛᎾᎯᏳ,,,,As there were,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2428,cn,Cherokee Nation,nvdadisesdi,ᏅᏓᏗᏎᏍᏗ,,,,Calender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2429,cn,Cherokee Nation,nvdouleyvtanv,ᏅᏙᎤᎴᏴᏔᏅ,,,,Tan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2430,cn,Cherokee Nation,nvgineiga,ᏅᎩᏁᎢᎦ,,,,Thursday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2431,cn,Cherokee Nation,onidunilawitsv,ᎣᏂᏚᏂᎳᏫᏨ,,,,At last session,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2432,cn,Cherokee Nation,osdagedigugododi,ᎣᏍᏓᎨᏗᎫᎪᏙᏗ,,,,Better judgment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2433,cn,Cherokee Nation,osdvadvdasdodi,ᎣᏍᏛᎠᏛᏓᏍᏙᏗ,,,,Careful attention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2434,cn,Cherokee Nation,osdviyadvhna,ᎣᏍᏛᎢᏯᏛᎿ,,,,Well to do,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2435,cn,Cherokee Nation,otadegisgi,ᎣᏔᏕᎩᏍᎩ,,,,Thirst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2436,cn,Cherokee Nation,sadvdi,ᏌᏛᏗ,,,,Trap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2437,cn,Cherokee Nation,sagei,ᏌᎨᎢ,,,,Thin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2438,cn,Cherokee Nation,saluyi,ᏌᎷᏱ,,,,Thicket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2439,cn,Cherokee Nation,sdasdi,ᏍᏓᏍᏗ,,,,Spinning wheel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2440,cn,Cherokee Nation,sgiwadvhilvi,ᏍᎩᏩᏛᎯᎸᎢ,,,,Call upon me,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2441,cn,Cherokee Nation,sgohi,ᏍᎪᎯ,,,,Ten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442,cn,Cherokee Nation,sgohine,ᏍᎪᎯᏁ,,,,Tenth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443,cn,Cherokee Nation,soigowelidegalutsv,ᏐᎢᎪᏪᎵᏕᎦᎷᏨ,,,,By next mail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2444,cn,Cherokee Nation,soquiliganidadv,ᏐᏈᎵᎦᏂᏓᏛ,,,,Horse tail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445,cn,Cherokee Nation,soquilitsunatsotli,ᏐᏈᎵᏧᎾᏦᏟ,,,,Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446,cn,Cherokee Nation,soquiliulasuo,ᏐᏈᎵᎤᎳᏑᎣ,,,,Horse shoe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2447,cn,Cherokee Nation,sudaliiyutlilodvatlilov,ᏑᏓᎵᎢᏳᏟᎶᏛᎠᏟᎶᎥ,,,,Township,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448,cn,Cherokee Nation,sudetiyvdaiyudaligvnigesvigvnedi,ᏑᏕᏘᏴᏓᎢᏳᏓᎵᎬᏂᎨᏒᎢᎬᏁᏗ,,,,Annual report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449,cn,Cherokee Nation,svdonidigvgilosdi,ᏒᏙᏂᏗᎬᎩᎶᏍᏗ,,,,Tub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2450,cn,Cherokee Nation,taladusine,ᏔᎳᏚᏏᏁ,,,,Twelfth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451,cn,Cherokee Nation,talasgohi,ᏔᎳᏍᎪᎯ,,,,Twenty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452,cn,Cherokee Nation,tali,ᏔᎵ,,,,Two,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2453,cn,Cherokee Nation,talidu,ᏔᎵᏚ,,,,Twelve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454,cn,Cherokee Nation,talihaiga,ᏔᎵᎭᎢᎦ,,,,Day or two,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455,cn,Cherokee Nation,talihanusvha,ᏔᎵᎭᏄᏒᎭ,,,,Day or two ago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2456,cn,Cherokee Nation,taliiyuwagudi,ᏔᎵᎢᏳᏩᎫᏗ,,,,Twice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457,cn,Cherokee Nation,talineiga,ᏔᎵᏁᎢᎦ,,,,Tuesday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458,cn,Cherokee Nation,talinusvha,ᏔᎵᏄᏒᎭ,,,,Day before yesterday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2459,cn,Cherokee Nation,talisgohine,ᏔᎵᏍᎪᎯᏁ,,,,Twentieth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460,cn,Cherokee Nation,tlasgoyitsanvta,ᏝᏍᎪᏱᏣᏅᏔ,,,,Don't you know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461,cn,Cherokee Nation,tlayitsigowati,ᏝᏱᏥᎪᏩᏘ,,,,Can not see,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2462,cn,Cherokee Nation,tlayudalula,ᏝᏳᏓᎷᎳ,,,,Cannot possibly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2463,cn,Cherokee Nation,tlugv,ᏡᎬ,,,,Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2464,cn,Cherokee Nation,tlvdatsi,ᏢᏓᏥ,,,,Tiger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465,cn,Cherokee Nation,tsadanvtiyesdi,ᏣᏓᏅᏘᏰᏍᏗ,,,,Be kind enough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466,cn,Cherokee Nation,tsadvnvisdisgo,ᏣᏛᏅᎢᏍᏗᏍᎪ,,,,Do you intend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2467,cn,Cherokee Nation,tsagasadodinetsvnelv,ᏣᎦᏌᏙᏗᏁᏨᏁᎸ,,,,Bring to your attention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468,cn,Cherokee Nation,tsagisadasgi,ᏣᎩᏌᏓᏍᎩ,,,,Are you familiar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469,cn,Cherokee Nation,tsagoliyeesgo,ᏣᎪᎵᏰᎡᏍᎪ,,,,Did you examine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2470,cn,Cherokee Nation,tsaneistanesgo,ᏣᏁᎢᏍᏔᏁᏍᎪ,,,,Did you mention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2471,cn,Cherokee Nation,tsanvtasgo,ᏣᏅᏔᏍᎪ,,,,Do you know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472,cn,Cherokee Nation,tsanvtasgonasgiyigi,ᏣᏅᏔᏍᎪᎾᏍᎩᏱᎩ,,,,Do you know whether,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473,cn,Cherokee Nation,tsanvtasgonasgiyigialetlayigi,ᏣᏅᏔᏍᎪᎾᏍᎩᏱᎩᎠᎴᏝᏱᎩ,,,,Do you know whether or not,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2474,cn,Cherokee Nation,tsatlanvdadehv,ᏣᏝᏅᏓᏕᎲ,,,,At your convenience,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475,cn,Cherokee Nation,tsesgoi,ᏤᏍᎪᎢ,,,,Did you have,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476,cn,Cherokee Nation,tsidiwatiha,ᏥᏗᏩᏘᎭ,,,,As we find,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2477,cn,Cherokee Nation,tsigiwadvhv,ᏥᎩᏩᏛᎲ,,,,As we found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478,cn,Cherokee Nation,tsinulistanv,ᏥᏄᎵᏍᏔᏅ,,,,As it has,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479,cn,Cherokee Nation,tsinusdesdi,ᏥᏄᏍᏕᏍᏗ,,,,As it will be,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480,cn,Cherokee Nation,tsinusdi,ᏥᏄᏍᏗ,,,,As it is,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481,cn,Cherokee Nation,tsinusdvgi,ᏥᏄᏍᏛᎩ,,,,As it was,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482,cn,Cherokee Nation,tsinvtadvneli,ᏥᏅᏔᏛᏁᎵ,,,,As you will,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2483,cn,Cherokee Nation,tsisdetsiiyusdi,ᏥᏍᏕᏥᎢᏳᏍᏗ,,,,Guinea pig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484,cn,Cherokee Nation,tsitsaduliha,ᏥᏣᏚᎵᎭ,,,,As you wish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485,cn,Cherokee Nation,tsitsanvta,ᏥᏣᏅᏔ,,,,As you know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486,cn,Cherokee Nation,tsiwayilega,ᏥᏩᏱᎴᎦ,,,,As follows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487,cn,Cherokee Nation,tsogadu,ᏦᎦᏚ,,,,Thirteen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488,cn,Cherokee Nation,tsogadusine,ᏦᎦᏚᏏᏁ,,,,Thirteenth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489,cn,Cherokee Nation,tsoganvta,ᏦᎦᏅᏔ,,,,As we know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490,cn,Cherokee Nation,tsohiyusvi,ᏦᎯᏳᏒᎢ,,,,Be sure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2491,cn,Cherokee Nation,tsoi,ᏦᎢ,,,,Three,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492,cn,Cherokee Nation,tsoine,ᏦᎢᏁ,,,,Third,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493,cn,Cherokee Nation,tsola,ᏦᎳ,,,,Tobacco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494,cn,Cherokee Nation,tsosgohi,ᏦᏍᎪᎯ,,,,Thirty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495,cn,Cherokee Nation,tsosgohine,ᏦᏍᎪᎯᏁ,,,,Thirtieth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496,cn,Cherokee Nation,tsotlvnesgo,ᏦᏢᏁᏍᎪ,,,,Did you make,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497,cn,Cherokee Nation,tsudalenvda,ᏧᏓᎴᏅᏓ,,,,Things,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498,cn,Cherokee Nation,tsugitsvnvda,ᏧᎩᏨᏅᏓ,,,,Day after day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499,cn,Cherokee Nation,tsunadalenvda,ᏧᎾᏓᎴᏅᏓ,,,,Tumult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500,cn,Cherokee Nation,tsunagiwesvgi,ᏧᎾᎩᏪᏒᎩ,,,,As I have said before,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501,cn,Cherokee Nation,tsunalinohedi,ᏧᎾᎵᏃᎮᏗ,,,,Telephoned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502,cn,Cherokee Nation,tsunalinohedi,ᏧᎾᎵᏃᎮᏗ,,,,By telephone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503,cn,Cherokee Nation,tsunatsolvdodi,ᏧᎾᏦᎸᏙᏗ,,,,Roller skate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504,cn,Cherokee Nation,tsunikahnawadvsdi,ᏧᏂᎧᎿᏩᏛᏍᏗ,,,,As a rule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2505,cn,Cherokee Nation,tsunilawiisdi,ᏧᏂᎳᏫᎢᏍᏗ,,,,Temple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506,cn,Cherokee Nation,tsusvdoni,ᏧᏒᏙᏂ,,,,Tubes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507,cn,Cherokee Nation,tsutsayosdi,ᏧᏣᏲᏍᏗ,,,,Thorn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508,cn,Cherokee Nation,tsutsoasedi,ᏧᏦᎠᏎᏗ,,,,Troubles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509,cn,Cherokee Nation,tsuyawetsvhi,ᏧᏯᏪᏨᎯ,,,,Tired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2510,cn,Cherokee Nation,tsvtaiwadvhi,ᏨᏔᎢᏩᏛᎯ,,,,As you will find,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511,cn,Cherokee Nation,tsvtigohi,ᏨᏘᎪᎯ,,,,As you will see,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512,cn,Cherokee Nation,udalvsdv,ᎤᏓᎸᏍᏛ,,,,Tangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513,cn,Cherokee Nation,udanvtedi,ᎤᏓᏅᏖᏗ,,,,Temper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514,cn,Cherokee Nation,udanvti,ᎤᏓᏅᏘ,,,,Tame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515,cn,Cherokee Nation,udeliisdi,ᎤᏕᎵᎢᏍᏗ,,,,Transpire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516,cn,Cherokee Nation,udilehvsgi,ᎤᏗᎴᎲᏍᎩ,,,,Yellow fever,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517,cn,Cherokee Nation,udogisgotsvse,ᎤᏙᎩᏍᎪᏨᏎ,,,,Did you not expect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518,cn,Cherokee Nation,udohiyu,ᎤᏙᎯᏳ,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519,cn,Cherokee Nation,uduginigvsvnatsigesv,ᎤᏚᎩᏂᎬᏒᎾᏥᎨᏒ,,,,As you did not expect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2520,cn,Cherokee Nation,ugalogv,ᎤᎦᎶᎬ,,,,Tea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521,cn,Cherokee Nation,ugatahvsv,ᎤᎦᏔᎲᏒ,,,,Turned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522,cn,Cherokee Nation,ugisvgi,ᎤᎩᏒᎩ,,,,Took,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2523,cn,Cherokee Nation,ugodidiagasestanv,ᎤᎪᏗᏗᎠᎦᏎᏍᏔᏅ,,,,Considerable attention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524,cn,Cherokee Nation,ugodidiulisgeda,ᎤᎪᏗᏗᎤᎵᏍᎨᏓ,,,,Considerable importance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2525,cn,Cherokee Nation,ugodiyu,ᎤᎪᏗᏳ,,,,Tremendous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526,cn,Cherokee Nation,ugoniyosdi,ᎤᎪᏂᏲᏍᏗ,,,,Tardy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527,cn,Cherokee Nation,uhagedv,ᎤᎭᎨᏛ,,,,Thick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2528,cn,Cherokee Nation,ulgvdula,ᎤᎵᎬᏚᎳ,vi,intransitive verb,verb,"he's wearing a mask, veil, face covering",,"agvdulo, alsduliɁa",,,agwalgvdula,ᎠᏆᎵᎬᏚᎳ,ulgvdulvɁi,ᎤᎵᎬᏚᎸᎢ,ulgvduloɁi,ᎤᎵᎬᏚᎶᎢ,jalgvdulesdi,ᏣᎵᎬᏚᎴᏍᏗ,----,----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529,cn,Cherokee Nation,ulihelitsv,ᎤᎵᎮᎵᏨ,,,,Thrill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530,cn,Cherokee Nation,ulihelitsvgi,ᎤᎵᎮᎵᏨᎩ,,,,Thrilled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531,cn,Cherokee Nation,ulinawi,ᎤᎵᎾᏫ,,,,Turtle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2532,cn,Cherokee Nation,ulisgoliya,ᎤᎵᏍᎪᎵᏯ,,,,Tyrant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533,cn,Cherokee Nation,ulosvsdi,ᎤᎶᏒᏍᏗ,,,,Terrible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534,cn,Cherokee Nation,ulosvstanvhi,ᎤᎶᏒᏍᏔᏅᎯ,,,,Terribly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2535,cn,Cherokee Nation,ulvsadv,ᎤᎸᏌᏛ,,,,Tumbler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536,cn,Cherokee Nation,unadvnelvdi,ᎤᎾᏛᏁᎸᏗ,,,,Theater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537,cn,Cherokee Nation,unagasasdidegi,ᎤᎾᎦᏌᏍᏗᏕᎩ,,,,Board of Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538,cn,Cherokee Nation,unatseli,ᎤᎾᏤᎵ,,,,Their,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539,cn,Cherokee Nation,unegada,ᎤᏁᎦᏓ,,,,Yellow hammer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540,cn,Cherokee Nation,unelaginasginasquu,ᎤᏁᎳᎩᎾᏍᎩᎾᏍᏊ,,,,Though,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541,cn,Cherokee Nation,unelanvhiudadolisdi,ᎤᏁᎳᏅᎯᎤᏓᏙᎵᏍᏗ,,,,Blessing of God,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542,cn,Cherokee Nation,unigodididanilawi,ᎤᏂᎪᏗᏗᏓᏂᎳᏫ,,,,Mass meeting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543,cn,Cherokee Nation,uninohedi,ᎤᏂᏃᎮᏗ,,,,Tells,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544,cn,Cherokee Nation,unohelei,ᎤᏃᎮᎴᎢ,,,,Told,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545,cn,Cherokee Nation,unole,ᎤᏃᎴ,,,,Tornado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2546,cn,Cherokee Nation,unoyvgv,ᎤᏃᏴᎬ,,,,Tune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2547,cn,Cherokee Nation,unoyvgv,ᎤᏃᏴᎬ,,,,Tone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548,cn,Cherokee Nation,unvsa,ᎤᏅᏌ,,,,Themselves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2549,cn,Cherokee Nation,usdawadvsv,ᎤᏍᏓᏩᏛᏒ,,,,Traced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2550,cn,Cherokee Nation,usdi,ᎤᏍᏗ,,,,Tiny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2551,cn,Cherokee Nation,usdiganvnv,ᎤᏍᏗᎦᏅᏅ,,,,Trail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2552,cn,Cherokee Nation,usgaena,ᎤᏍᎦᎡᎾ,,,,Tenderfoot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2553,cn,Cherokee Nation,usiadidodi,ᎤᏏᎠᏗᏙᏗ,,,,Teaspoon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2554,cn,Cherokee Nation,usonvnvhi,ᎤᏐᏅᏅᎯ,,,,Tragedy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
