audio_file,type,merged_id,normalized_key,sentence_id
0243.1.m4a,base_form,df78c7500909f083,,
0247.1.m4a,base_form,1dc9c25e673da60b,,
Word_0248.1.m4a,base_form,2887f172b43bf909,,
Word_0249.1.m4a,base_form,b0addfe89d894f7d,,
Word_0250.1.m4a,base_form,f75c1b4f49aa5c09,,
Word_0251.1.m4a,base_form,6c990992fda2c8e6,,
Word_0252.1.m4a,base_form,5326dd518b1633b2,,
Word_0253.1.m4a,base_form,d867136dd5ea738a,,
Word_0254.1.m4a,base_form,2fa151c987a74f08,,
Word_0255.1.m4a,base_form,a42e80d2733545c5,,
Word_CNLD_Flower_257.1.m4a,base_form,b20c3c8e475585f9,,
Word_0258.1.m4a,base_form,5757aa3d954dfdb8,,
Word_0262.2.m4a,base_form,face012b7a598770,,
Word_0264.1.m4a,base_form,badd26e614faecf6,,
Word_0265.1.m4a,base_form,1d642ab1923a7bb8,,
Word_0267.1.m4a,base_form,2a3a59d953282900,,
0269.1.m4a,base_form,b700027706b7fc35,,
Word_0271.1.m4a,base_form,d2d3333cd7532a5b,,
Word_0272.2.m4a,base_form,c357b7970f64bde3,,
Word_0273.1.m4a,base_form,4dc5056c8975a69e,,
Word_0274.1.m4a,base_form,0b2b12ee9220402b,,
Word_0275.1.m4a,base_form,ecdfb0dc8ae179c8,,
Word_0276.1.m4a,base_form,0da6f1d692644b07,,
Word_0277.1.m4a,base_form,2dfc49747319c444,,
Word_0279.1.m4a,base_form,d5963611cf67038a,,
Word_0281.1.m4a,base_form,c325526368a39135,,
Word_0282.1.m4a,base_form,d92c1462cb4a0299,,
Word_0288.1.m4a,base_form,ee7b9c78fefa3d4a,,
Word_0289.1.m4a,base_form,fec7ba87bfb7cce6,,
0291.1.m4a,base_form,85589ea48685dc50,,
Word_0292.1.m4a,base_form,f8a0dda72a221ae8,,
Word_0294.1.m4a,base_form,1143c5313cc5e614,,
Word_0296.1.m4a,base_form,1d79f73818d27804,,
Word_0298.1.m4a,base_form,684be809c313d1a1,,
0299.1.m4a,base_form,ccd2e510cc83794c,,
0302.1.m4a,base_form,2dbb0ed7c5b6c54a,,
0306.1.m4a,base_form,b952bfacd3e9fc93,,
Word_0308.1.m4a,base_form,a252cfca35fcf64e,,
0309.1.m4a,base_form,d4be88a0c86f867d,,
Word_0310.1.m4a,base_form,bb91104fa3221340,,
Word_0311.1.m4a,base_form,e5b8c00ece1f5b99,,
Word_0317.1.m4a,base_form,4c0dad0802fc5e62,,
Word_0318.1.m4a,base_form,ac7f1013a32652e4,,
Word_0319.1.m4a,base_form,205e89f03849cb0f,,
Word_0320.2.m4a,base_form,e1b631d738edd13f,,
Word_0321.1.m4a,base_form,4705fcf746893e93,,
Word_0322.1.m4a,base_form,7cf2416caef037ab,,
Word_0323.1.m4a,base_form,c7fe14149e67e02a,,
0326.1.m4a,base_form,481c3af254963f18,,
Word_0328.1.m4a,base_form,47c01bfffa2decba,,
0330.1.m4a,base_form,431d5d8127c6275c,,
Word_0333.1.m4a,base_form,dc57f44b915781f1,,
Word_0335.1.m4a,base_form,4d0716a4190d7ff5,,
0340.1.m4a,base_form,ac799ad78fa89eb8,,
Word_0350.1.m4a,base_form,48f300a6f1db1970,,
Word_0351.1.m4a,base_form,0207cba564635bcd,,
Word_0353.1.m4a,base_form,bc4508bfacb740fc,,
Word_0356.1.m4a,base_form,9c0cacde7a0d8412,,
Word_0357.1.m4a,base_form,c517d9d721e2a2c7,,
Word_0358.1.m4a,base_form,e9594e98c57154e7,,
Word_0359.1.m4a,base_form,e839043153f0e679,,
Word_0360.1.m4a,base_form,1347236358e3e8dd,,
0355.1.MP3,base_form,724d4b65b5efaf52,,
Word_0362.1.m4a,base_form,4b85f26c39bbb4e5,,
Word_0363.1.m4a,base_form,6425ad0c00d7af2d,,
Word_0364.1.m4a,base_form,884c0a7fdddb80e7,,
0365.1.m4a,base_form,087372353c02131c,,
0367.1.m4a,base_form,3b2f00e433597efd,,
Word_0368.1.m4a,base_form,8e82dc4823f6fdc7,,
Word_0371.1.m4a,base_form,610d016169bdfae0,,
Word_0372.1.m4a,base_form,be7aba423a93e242,,
Word_0375.1.m4a,base_form,5fc9bf080fa5afee,,
Word_0376.1.m4a,base_form,acb4d364a5f84a1a,,
Word_0377.1.m4a,base_form,3986ebfea2b6f790,,
Word_0378.1.m4a,base_form,bd3e34fce17fb0e7,,
Word_0379.1.m4a,base_form,d48e2c458f77c1dc,,
Word_CNLD_Dress_0383.1.m4a,base_form,11eeeef87b5daad1,,
0386.1.m4a,base_form,545715ed9ba250d6,,
Word_0388.1.m4a,base_form,db8b35833b0376d7,,
0392.1.m4a,base_form,6c213afc415d7077,,
Word_0394.1.m4a,base_form,85db14b6b7f00b8b,,
0398.1.m4a,base_form,99f448b3a081b9a4,,
Word_0400.1.m4a,base_form,ab184a5ded7a019b,,
Word_0401.1.m4a,base_form,148913748a2edc06,,
Word_0403.1.m4a,base_form,178bfdadcab0df36,,
Word_0406.1.m4a,base_form,34659f365615342d,,
Word_0410.1.m4a,base_form,91ed803b1a594c61,,
0411.1.m4a,base_form,44450aa4fe6c5558,,
Word_0413.1.m4a,base_form,7ad43d4fdd46f191,,
Word_0414.1.m4a,base_form,6e036f66304e6533,,
Word_0415.1.m4a,base_form,af79b4bd9080ae21,,
Word_0416.1.m4a,base_form,c5c2328736516173,,
0422.1.m4a,base_form,4ec54991b9fbe22b,,
Word_0423.1.m4a,base_form,d11ab5dacaf1b943,,
0425.1.m4a,base_form,793d33c2778a79b4,,
Word_0427.1.m4a,base_form,02cdb5da31494bb5,,
0433.1.m4a,base_form,278ecc62e31ee104,,
Word_0435.1.m4a,base_form,2d69ee0d2eebb3f5,,
0440.1.m4a,base_form,ce5fcbcd2d55ba09,,
Word_0441.1.m4a,base_form,40bcafc10c36f9de,,
Word_0442.1.m4a,base_form,a94b8b496e81bd2a,,
0445.1.m4a,base_form,262ef311b05f7f08,,
Word_0499.1.m4a,base_form,da7bfa01c3867053,,
Word_0451.1.m4a,base_form,122b7d9b261dc861,,
Word_0457.1.m4a,base_form,a5cc47a73036a9c3,,
Word_0458.1.m4a,base_form,beb0edff8afb3553,,
Word_0462.1.m4a,base_form,8a55a732f9144aeb,,
Word_0463.1.m4a,base_form,6b524006e3661674,,
Word_CNLD_Bridge_0464.1.m4a,base_form,3e6f5829578901b8,,
Word_0467.1.m4a,base_form,462b717e16834a73,,
0468.1.m4a,base_form,9460254e0d044e01,,
Word_0469.1.m4a,base_form,b4f3c2eb1ded9c41,,
0473.1.m4a,base_form,2bc586c85d6c0594,,
Word_0475.1.m4a,base_form,4519715293725781,,
0478.1.m4a,base_form,94a6b0802c1fc167,,
Word_0480.1.m4a,base_form,7f04920a1b2acdc3,,
Word_CNLD_plate_0483.1.m4a,base_form,afd47ae3f22f7dbc,,
Word_0485.1.m4a,base_form,cdb9240d2d76e24d,,
Word_0486.1.m4a,base_form,bfc08a1c3e842ffd,,
Word_0488.1.m4a,base_form,3bafcc59ca68d091,,
Word_0491.1.m4a,base_form,5d4b6ff6d7e319b0,,
Word_0492.1.m4a,base_form,e2463b6dbaaaca20,,
Word_0495.1.m4a,base_form,0602ce6a605adf0f,,
Word_0499.1.m4a,base_form,c9248af40ffe872f,,
Word_0505.1.m4a,base_form,a7150a3f30377e03,,
Word_0506.1.m4a,base_form,5c5ce06ad5bd4143,,
0507.1.m4a,base_form,86c720d8caa6e0fc,,
Word_0508.1.m4a,base_form,2a756dd2c89354b9,,
Word_0509.1.m4a,base_form,4080c94a6f958e15,,
Word_0510.1.m4a,base_form,74c102ff8813a29d,,
Word_0511.3.m4a,base_form,1d038931bc5df277,,
Word_0512.1.m4a,base_form,dd8cd9ac189e826c,,
Word_0513.1.m4a,base_form,3926442a6aae884d,,
Word_0515.1.m4a,base_form,7b07974998a053e6,,
0517.1.m4a,base_form,d8af6f43046e20b3,,
Word_0521.1.m4a,base_form,ef5f7f9e1222fff4,,
0525.1.m4a,base_form,420d7bd70c25fd3c,,
Word_0527.1.m4a,base_form,beda1d585e044979,,
0532.1.m4a,base_form,a94d6e6b9d4d7db1,,
Word_0534.1.m4a,base_form,519cb74533b3fad4,,
Word_0539.1.m4a,base_form,0a8f5d14b4429827,,
0540.1.m4a,base_form,285865ef30eb249a,,
Word_0541.1.m4a,base_form,82f1b37b9cddab8c,,
Word_0542.2.m4a,base_form,a29b23e852f2c159,,
Word_0544.1.m4a,base_form,4552f6e3e52fec78,,
0545.1.m4a,base_form,e4298dbde00d643c,,
Word_0550.1.m4a,base_form,85b7701c89268bde,,
Word_0559.1.m4a,base_form,6bf5d74ce40a96cf,,
Word_0560.1.m4a,base_form,b9ffb165698f51d3,,
Word_0561.1.m4a,base_form,6ba74acd28c3a6b5,,
Word_0566.1.m4a,base_form,5de6b71cbcba8c56,,
0570.1.m4a,base_form,57a1dc0e0132c3a9,,
Word_0573.1.m4a,base_form,b1a70c729f768536,,
Word_0579.1.m4a,base_form,c37f5a8aef5b61d9,,
Word_0580.1.m4a,base_form,4d67b2cd21c65692,,
0590.1.m4a,base_form,2ede01d3a87cee64,,
Word_0591.1.m4a,base_form,8cb2ee6d23e38ab3,,
Word_0596.1.m4a,base_form,e6c670cd4897c567,,
0598.1.m4a,base_form,fdc0da1c6ea0471b,,
0605.1.m4a,base_form,e0692aaf6aabb2d1,,
0612.1.m4a,base_form,e4f334a20e2693e2,,
Word_0617.1.m4a,base_form,775f2ded0041076c,,
Word_0624.1.m4a,base_form,c15bac5b417c91fe,,
Word_0625.1.m4a,base_form,408b62d44278a191,,
Word_0626.1.m4a,base_form,b28ff004dc8d1803,,
