base_id,sentence_id,source file,gloss_english,gloss_phonetic,gloss_syllabary,source
5f94225a5d942562,d4bed5d02a59,cn-app-dictionary.csv,stinging,ada:jv̋:ysgi,ᎠᏓᏨᎢᏍᎩ,Cherokee Dictionary 1975 Durbin Feeling
e7d5cb5c8285d5df,16ad92504108,cn-app-dictionary.csv,he uses a mirror.,à:da:kě:sgó:’i,ᎠᏓᎨᏍᎪᎢ.,Cherokee Dictionary 1975 Durbin Feeling
889259edb8b08911,10a573372592,cn-app-dictionary.csv,mirror,ada:kéhdi̋,ᎠᏓᎨᏗ,Cherokee Dictionary 1975 Durbin Feeling
b85e4ea4b98ba153,ca563e90141f,cn-app-dictionary.csv,begins.,à:dale:ni:sgó,ᎠᏓᎴᏂᏍᎪ,Cherokee Dictionary 1975 Durbin Feeling
4c3b4e7079a24667,18f0d9281d58,cn-app-dictionary.csv,to do,u:da:nanè:svhv́sdi̋,ᎤᏓᎾᏁᏒᎲᏍᏗ,Cherokee Dictionary 1975 Durbin Feeling
4c3b4e7079a24667,18f0d9281d58,cn-app-dictionary.csv,shopping,,,Cherokee Dictionary 1975 Durbin Feeling
0e65e797db6bb930,bcc10607bec5,cn-app-dictionary.csv,store,à:da:nánv̋:,ᎠᏓᎾᏅ,Cherokee Dictionary 1975 Durbin Feeling
33400f48ef64ee5d,e9c88ab9f047,cn-app-dictionary.csv,he ran.,ù:danâ:wstanv̌:’i,ᎤᏓᎾᏫᏍᏔᏅᎢ.,Cherokee Dictionary 1975 Durbin Feeling
e26e8f13613be870,22d96a109bb8,cn-app-dictionary.csv,changed.,dlí:yv:nâ,ᎠᏓᏁᏟᏴᎾ.,Cherokee Dictionary 1975 Durbin Feeling
9491ca6e6565eaab,524cdda5645e,cn-app-dictionary.csv,took his place.,ù:daně:dlí:yv̀:stanv̌:’i,ᎤᏓᏁᏟᏴᏍᏔᏅᎢ.,Cherokee Dictionary 1975 Durbin Feeling
b299252fb51cd5e6,bff1f80467fd,cn-app-dictionary.csv,substitutes.,anadaně:dlí:yv̀:sdi̋:sgi,ᎠᎾᏓᏁᏟᏴᏍᏗᏍᎩ,Cherokee Dictionary 1975 Durbin Feeling
692bfeef6c6a901e,652b9c798f88,cn-app-dictionary.csv,supply,à:da:né:hlv̋:,ᎠᏓᏁᏢ,Cherokee Dictionary 1975 Durbin Feeling
56bbfbff8eb643f3,5d4126bbb7f0,cn-app-dictionary.csv,building.,à:da:ně:lv̋:’i,ᎠᏓᏁᎸᎢ.,Cherokee Dictionary 1975 Durbin Feeling
b0fc45028f893c0c,1cfb5151919b,cn-app-dictionary.csv,heart,ada:nhdo,ᎠᏓᏅᏙ,Cherokee Dictionary 1975 Durbin Feeling
b98e8ebd66548398,dbf1e5075bd5,cn-app-dictionary.csv,you thinking about?,hada:nhtě:ha,ᎭᏓᏅᏖᎭ?,Cherokee Dictionary 1975 Durbin Feeling
9a2fb077eb3a67e4,260d0d2013b9,cn-app-dictionary.csv,you,ì:jada̋:nhtehdî,ᎢᏣᏓᏅᏖᏗ,Cherokee Dictionary 1975 Durbin Feeling
9a2fb077eb3a67e4,260d0d2013b9,cn-app-dictionary.csv,to think about.,,,Cherokee Dictionary 1975 Durbin Feeling
1d0b1a36ef01cb24,5f3bb772d4fb,cn-app-dictionary.csv,He’s considering,à:da:nhte:hí:lo’â,ᎠᏓᏅᏖᎯᎶᎠ.,Cherokee Dictionary 1975 Durbin Feeling
6c08cbb254919b4f,4a10d2108fd7,cn-app-dictionary.csv,it makes noise.,à:dano:hyv:hlisdi:sgó:’i,ᎠᏓᏃᏴᏟᏍᏗᏍᎪᎢ.,Cherokee Dictionary 1975 Durbin Feeling
