Index,Source,Entry,Syllabary,Part_of_Speech,PoS,PoS_Family,Definition,Cross_Reference,Entry_Tone,Other_Forms,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
366,ced,ahiha,ᎠᎯᎭ,vt,transitive verb,verb,"he's killing him, it","adahihi, didahihi",a¹hi.³ha,Verb 1st Present:jiiha^ᏥᎢᎭ^ji.²?i.³ha|Verb 3rd Past:uhlvi^ᎤᏢᎢ^u¹hlv²³?i|Verb 3rd Present Habitual:ahihoi^ᎠᎯᎰᎢ^a¹hi.²ho³?i|Verb 2nd Imperative:hiluga^ᎯᎷᎦ^hi²lu¹ga|Verb 3rd Infinitive:uhisdi^ᎤᎯᏍᏗ^u²hi.²sdi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,ced,ahileha,ᎠᎯᎴᎭ,vt,transitive verb,verb,he has possession of a vehicle,ahilvsdii,a¹hi.?³le²ha,Verb 1st Present:jiileha^ᏥᎢᎴᎭ^ji.²?i.³le²ha|Verb 3rd Past:-----^-----^-----|Verb 3rd Present Habitual:ahilehoi^ᎠᎯᎴᎰᎢ^a¹hi.?³le¹ho³?i|Verb 2nd Imperative:-----^-----^-----|Verb 3rd Infinitive:uhilvsdi^ᎤᎯᎸᏍᏗ^u²hi.?²lv¹sdi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368,ced,ahili,ᎠᎯᎵ,vt,transitive verb,verb,he's driving it (vehicle in motion or animal),ahilvsdii,a¹hi.?³li,Verb 1st Present:jiili^ᏥᎢᎵ^ji.²?i.³li|Verb 3rd Past:uhilvsvi^ᎤᎯᎸᏒᎢ^u¹hi.?³lv³sv²³?i|Verb 3rd Present Habitual:ahilisoi^ᎠᎯᎵᏐᎢ^a¹hi.?³li³so³?i|Verb 2nd Imperative:-----^-----^-----|Verb 3rd Infinitive:uhilvsdi^ᎤᎯᎸᏍᏗ^u²hi?²lv¹sdi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
369,ced,ahilvsdii,ᎠᎯᎸᏍᏗᎢ,n,noun,noun,steering wheel,ahili,a.²hi.?²lv¹sdi⁴?i,Plural:dihilvsdii^ᏗᎯᎸᏍᏗᎢ^di²hi.?²lv¹sdi⁴?i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
370,ced,ahiyaa,ᎠᎯᏯᎠ,vt,transitive verb,verb,he's leaving it behind,"adisiyaa, gakahiyaa, ganehiyaa, ganiyaa",a¹hi²ya.³?a,Verb 1st Present:jiiyaa^ᏥᎢᏯᎠ^ji.²?i²ya.³?a|Verb 3rd Past:uhiyvi^ᎤᎯᏴᎢ^u¹hi³yv²³?i|Verb 3rd Present Habitual:ahiyasgoi^ᎠᎯᏯᏍᎪᎢ^a¹hi²ya³²sgo³?i|Verb 2nd Imperative:hihiya^ᎯᎯᏯ^hi.²hi²³ya|Verb 3rd Infinitive:uhiyasdi^ᎤᎯᏯᏍᏗ^u²hi³⁴ya³²sdi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371,ced,ahlahvsga,ᎠᏝᎲᏍᎦ,vt,transitive verb,verb,he's placing it on something,ahlohdi,a¹hla.²hv.³sga,Verb 1st Present:jihlahvsga^ᏥᏝᎲᏍᎦ^ji¹hla.²hv.³sga|Verb 3rd Past:uhlahnvi^ᎤᏝᏅᎢ^u¹hla.²hv²³?sga|Verb 3rd Present Habitual:ahlahvsgoi^ᎠᏝᎲᏍᎪᎢ^a¹hla.²hv.³sgo.³?i|Verb 2nd Imperative:hihlahvga^ᎯᏝᎲᎦ^hi.²hla.²hv¹ga|Verb 3rd Infinitive:uhlohdi^ᎤᏠᏗ^u²hloh²di,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372,ced,ahlawidiha,ᎠᏝᏫᏗᎭ,vi,intransitive verb,verb,"he's taking off flying, its flying away","ahlawidisgi, ahlawitdiha",a¹hla.²wi²di.³ha,Verb 1st Present:gadlawidiha^ᎦᏜᏫᏗᎭ^ga.²dla.²wi²di.³ha|Verb 3rd Past:uhlawidvhvi^ᎤᏝᏫᏛᎲᎢ^u²hla.²wi²dv²hv²³?i|Verb 3rd Present Habitual:ahlawidisgoi^ᎠᏝᏫᏗᏍᎪᎢ^a¹hla²wi²di²³sgo.³?i|Verb 2nd Imperative:hahlawida^ᎭᏝᏫᏓ^ha.²hla.²wi²³da|Verb 3rd Infinitive:uhlawitdi^ᎤᏝᏫᏘᏗ^u²hla.²wi²tdi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
373,ced,ahlawidisgi,ᎠᏝᏫᏗᏍᎩ,n,noun,noun,something that flies away,"ahlawidiha, ahlawitdiha",a.²hla.²wi²di⁴sgi,Plural:dihlawidisgi^ᏗᏝᏫᏗᏍᎩ^di²hla.²wi²di⁴sgi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374,ced,ahlawitdiha,ᎠᏝᏫᏘᏗᎭ,vt,transitive verb,verb,"he's making him, it fly","ahlawidiha, ahlawitdisgi",a¹hla.²wi²tdi.³ha,"Verb 1st Present:jiyadlawitdiha, gadlawitdiha^ᏥᏯᏜᏫᏘᏗᎭ, ᎦᏜᏫᏘᏗᎭ^ji²ya.²dla.²wi²tdi.³ha, ga.²dla.²wi²tdi.³ha|Verb 3rd Past:uhlawitdanvi^ᎤᏝᏫᏘᏓᏅᎢ^u¹hla.²wi²tda.³nv³?i|Verb 3rd Present Habitual:ahlawitdisgoi^ᎠᏝᏫᏘᏗᏍᎪᎢ^a¹hla.²wi²tdi²³sgo.³?i|Verb 2nd Imperative:hiyadlawitda, hahlawitda^ᎯᏯᏜᏫᏘᏓ, ᎭᏝᏫᏘᏓ^hi²ya.²dla.²wi²tda, hahlawitda|Verb 3rd Infinitive:uhlawitdohdi^ᎤᏝᏫᏘᏙᏗ^u²hla.²wi²tdo.h³di",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375,ced,ahlawitdisgi,ᎠᏝᏫᏘᏗᏍᎩ,n,noun,noun,person who makes it fly,jiyu dihlawitdisgi,a.²hla.²wi²tdi⁴sgi,Plural:anahlawitdisgi^ᎠᎾᏝᏫᏘᏗᏍᎩ^a.²na.²hla.²wi²tdi⁴sgi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
376,ced,ahligia,ᎠᏟᎩᎠ,vi,intransitive verb,verb,he's having a nightmare,,a¹hli.²gi³?a,Verb 1st Present:gadligia^ᎦᏟᎩᎠ^ga.²dli.²gi³?a|Verb 3rd Past:uhligisvi^ᎤᏟᎩᏒᎢ^u¹hli.²gi³sv²³?i|Verb 3rd Present Habitual:ahligisgoi^ᎠᏟᎩᏍᎪᎢ^a¹hli.²gi³sgo³?i|Verb 2nd Imperative:hahligi^ᎭᏟᎩ^ha.²hli.²gi|Verb 3rd Infinitive:uhligisdi^ᎤᏟᎩᏍᏗ^u²hli.²gi¹sdi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377,ced,ahliilidoha,ᎠᏟᎢᎵᏙᎭ,vi,intransitive verb,verb,it's taking time,"hila ahliili, juhliilvstanvi",a¹hli.³?i.²li²³do³²ha,Verb 3rd Past:uhliilidolvi^ᎤᏟᎢᎵᏙᎸᎢ^u¹hli.³?i.¹li²³do³²lv²³?i|Verb 3rd Present Habitual:ahliilidohoi^ᎠᏟᎢᎵᏙᎰᎢ^a¹hli.³?ilido³²ho³?i|Verb 3rd Infinitive:uhliilidasdi^ᎤᏟᎢᎵᏓᏍᏗ^u²hli.²?i.²li²³da³²sdi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
378,ced,ahliloa,ᎠᏟᎶᎠ,vt,transitive verb,verb,he's measuring it,ahlilosdi,a¹hli²lo³?a,Verb 1st Present:gadliloa^ᎦᏟᎶᎠ^ga.²dli²lo³?a|Verb 3rd Past:uhlilovi^ᎤᏟᎶᎥᎢ^u¹hli²lo³?v²³?i|Verb 3rd Present Habitual:ahlilosgoi^ᎠᏟᎶᏍᎪᎢ^a¹hli²lo³sgo³?i|Verb 2nd Imperative:hahliloja^ᎭᏟᎶᏣ^ha.²hli²lo²³ja|Verb 3rd Infinitive:uhlilosdi^ᎤᏟᎶᏍᏗ^u²hli²lo¹sdi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
379,ced,ahlilosdi,ᎠᏟᎶᏍᏗ,n,noun,noun,ruler,Ahliloa,a.²hli²lo⁴sdi,Plural:dihlilosdi^ᏗᏟᎶᏍᏗ^di²hli²lo⁴sdi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380,ced,ahliyvhgwidvsga,ᎠᏟᏴᏈᏛᏍᎦ,vi,intransitive verb,verb,it's bending,ahyvhgwidvsga,a¹hli.²yvhgwidvsga,Verb 1st Present:-----^-----^-----|Verb 3rd Past:uhliyvhgwidvnvi^ᎤᏟᏴᏈᏛᏅᎢ^u¹hli.²yvh²gwi.²dv³²nv²³?i|Verb 3rd Present Habitual:ahliyvhgwidvsgoi^ᎠᏟᏴᏈᏛᏍᎪᎢ^a¹hli.²yvh²gwi.²dv³²sgo³?i|Verb 2nd Imperative:-----^-----^-----|Verb 3rd Infinitive:uhliyvhgwidvdi^ᎤᏟᏴᏈᏛᏗ^u²hli.²yvh²gwi.²dv¹di,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
381,ced,ahliyvsanawsdiha,ᎠᏟᏴᏌᎾᏩᏍᏗᎭ,vi,intransitive verb,verb,he's snorting,--,a¹hli.²yv²³sa.³naw¹sdi.³ha,Verb 1st Present:galiyvsanawsdiha^ᎦᎵᏴᏌᎾᏩᏍᏗᎭ^ga.²li¹yv²³sa.³naw¹sdi.³ha|Verb 3rd Past:uhliyvsanawstanvi^ᎤᏟᏴᏌᎾᏩᏍᏔᏅᎢ^u¹hli.²yv²³sa.³naw¹sta.²nv³?i|Verb 3rd Present Habitual:ahliyvsanawsdisgoi^ᎠᏟᏴᏌᎾᏩᏍᏗᏍᎪᎢ^a¹hli.²yv²³sa.³naw¹sdi²³sgo³?i|Verb 2nd Imperative:hahliyvsanawsda^ᎭᏟᏴᏌᎾᏩᏍᏓ^ha.²hli.²yv²sa.²naw¹sda|Verb 3rd Infinitive:uhliyvsanawsdohdi^ᎤᏟᏴᏌᎾᏩᏍᏙᏗ^u²hli.²yv²³sa.³naw¹sdoh³di,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382,ced,ahljadohvsga,ᎠᎵᏣᏙᎲᏍᎦ,vi,intransitive verb,verb,he's preaching,ahljadohvsgi,ahl¹ja.²do²³hv.³sga,Verb 1st Present:galijadohvsga^ᎦᎵᏣᏙᎲᏍᎦ^ga.²li¹ja.²do²³hv.³sga|Verb 3rd Past:uhljadohnvi^ᎤᎵᏣᏙᏅᎢ^uhl¹ja.²do²³hnv³?i|Verb 3rd Present Habitual:ahljadohvsgoi^ᎠᎵᏣᏙᎲᏍᎪᎢ^ahl¹ja.²do²³hv.³sgo³?i|Verb 2nd Imperative:hahljadohvga^ᎭᎵᏣᏙᎲᎦ^hahl²ja.²do²hv¹ga|Verb 3rd Infinitive:uhljatdi^ᎤᎵᏣᏘᏗ^uhl²ja.³tdi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383,ced,ahljadohvsgi,ᎠᎵᏣᏙᎲᏍᎩ,n,noun,noun,preacher,ahljadohvsga,ahl²ja.²do⁴hv.²sgi,Plural:anahljadohvsgi^ᎠᎾᎵᏣᏙᎲᏍᎩ^a.²nahl²ja.²do⁴hv.²sgi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
384,ced,ahlkodvsga,ᎠᎵᎪᏛᏍᎦ,vi,intransitive verb,verb,it's shattering,ahlkotdiha,ahl¹ko²dv²sga,Verb 1st Present:-----^-----^-----|Verb 3rd Past:uhlkodvhnvi^ᎤᎵᎪᏛᏅᎢ^uhl¹ko²dv²hnv²³?i|Verb 3rd Present Habitual:ahlkodvsgoi^ᎠᎵᎪᏛᏍᎪᎢ^ahl¹ko²dv²sgo³?i|Verb 2nd Imperative:-----^-----^-----|Verb 3rd Infinitive:-----^-----^-----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
385,ced,ahlkotdiha,ᎠᎵᎪᏛᏗᎭ,vt,transitive verb,verb,he's shattering it,ahlkodvsga,ahl¹ko²tdi.³ha,Verb 1st Present:galikotdiha^ᎦᎵᎪᏛᏗᎭ^ga.²li¹ko²tdi.³ha|Verb 3rd Past:uhlkottanvi^ᎤᎵᎪᏛᏔᏅᎢ^uhl¹ko²tta.²nv³?i|Verb 3rd Present Habitual:ahlkotdisgoi^ᎠᎵᎪᏛᏗᏍᎪᎢ^ahl¹ko³tdi²³sgo.³?i|Verb 2nd Imperative:hahlkotda^ᎭᎵᎪᏛᏓ^hahl²ko²tda|Verb 3rd Infinitive:uhlkotdohdi^ᎤᎵᎪᏛᏙᏗ^uhl²ko²tdoh³di,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
386,ced,ahlohdi,ᎠᏠᏗ,n,noun,noun,phonograph record,ahlahvsga,a.³hloh²di,Plural:dihlohdi^ᏗᏠᏗ^di²³hloh²di,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
387,ced,ahlosga,ᎠᏠᏍᎦ,vt,transitive verb,verb,he's beating him at a game,,a¹hlo²sga,Verb 1st Present:jihlosga^ᏥᏠᏍᎦ^ji¹hlo²sga|Verb 3rd Past:uhlosvi^ᎤᏠᏒᎢ^u¹hlo²sv²³?i|Verb 3rd Present Habitual:ahlosgoi^ᎠᏠᏍᎪᎢ^a¹hlo²sgo³?i|Verb 2nd Imperative:hihlohi^ᎯᏠᎯ^hi¹hlo²³hi|Verb 3rd Infinitive:uhlohisdi^ᎤᏠᎯᏍᏗ^u²hlo²hi.²sdi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
388,ced,ahltawoa,ᎠᎵᏔᏬᎠ,vt,transitive verb,verb,he's combing his hair,"ahltawosdi, atawoa",ahl¹ta.²wo³?a,Verb 1st Present:galitawoa^ᎦᎵᏔᏬᎠ^ga.²li¹ta.²wo³?a|Verb 3rd Past:uhltawovi^ᎤᎵᏔᏬᎥᎢ^uhl¹ta.²wo³?v²³?i|Verb 3rd Present Habitual:ahltawosgoi^ᎠᎵᏔᏬᏍᎪᎢ^ahl¹ta.²wo³sgo³?i|Verb 2nd Imperative:hahltawoja^ᎭᎵᏔᏬᏣ^hahl²ta.²wo²³ja|Verb 3rd Infinitive:uhltawosdi^ᎤᎵᏔᏬᏍᏗ^uhl²ta.²wo¹sdi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
389,ced,ahltawosdi,ᎠᎵᏔᏬᏍᏗ,n,noun,noun,comb,"ahltawoa, atawoa",ahl²ta.²wo³sdi,Plural:dihltawosdi^ᏗᎵᏔᏬᏍᏗ^dihl²ta.²wo³sdi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
390,ced,ahltelvhvsga,ᎠᎵᏖᎸᎲᏍᎦ,vi,intransitive verb,verb,"he, it's moving (without changing location)",atelvhvsga,ahl¹te³lv²hv.³sga,Verb 1st Present:galitelvhvsga^ᎦᎵᏖᎸᎲᏍᎦ^ga.²li¹te³lv²hv.³sga|Verb 3rd Past:uhltelvhnvi^ᎤᎵᏖᎸᏅᎢ^uhl¹te³lv²hnv²³?i|Verb 3rd Present Habitual:ahltelvhvsgoi^ᎠᎵᏖᎸᎲᏍᎪᎢ^ahl¹te³lv²hv.²sgo³?i|Verb 2nd Imperative:hahltelvhvga^ᎭᎵᏖᎸᎲᎦ^hahl²te¹lv²hv¹ga|Verb 3rd Infinitive:uhltehldi^ᎤᎵᏖᎸᏗ^uhl²tehl¹di,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
391,ced,ahnawaiyva,ᎠᎿᏩᎢᏴᎠ,vt,transitive verb,verb,he's changing his shirt,"ahnawea, ahnawo, ahnawoa",a¹hna.²wa.³?i²yv³?a,Verb 1st Present:ganiwaiyva^ᎦᏂᏩᎢᏴᎠ^ga.²ni¹wa.³?i²yv³?a|Verb 3rd Past:uhnawaiyvsvi^ᎤᎿᏩᎢᏴᏒᎢ^u¹hna.²wa³?i²yv³sv²³?i|Verb 3rd Present Habitual:ahnawaiyvsgoi^ᎠᎿᏩᎢᏴᏍᎪᎢ^a¹hna.²wa.³?i²yv³sgo³?i|Verb 2nd Imperative:hahnawaiyvna^ᎭᎿᏩᎢᏴᎾ^ha.²hna.²wa.²?i²yv²³na|Verb 3rd Infinitive:uhnawaiyvsdi^ᎤᎿᏩᎢᏴᏍᏗ^u²hna.²wa.²?i²³yv³²sdi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
392,ced,ahnawea,ᎠᎿᏪᎠ,vt,transitive verb,verb,"he's taking his shirt, coat off","ahnawaiyva, ahnawo, ahnawoa, uhnawo",a¹hna.²we³?a,Verb 1st Present:ganiwea^ᎦᏂᏪᎠ^ga.²ni¹we³?a|Verb 3rd Past:uhnawesvi^ᎤᎿᏪᏒᎢ^u¹hna.²we³sv²³?i|Verb 3rd Present Habitual:ahnawesgoi^ᎠᎿᏪᏍᎪᎢ^a¹hna.²we³sgo³?i|Verb 2nd Imperative:hahnawagi^ᎭᎿᏩᎩ^ha.²hna.²wa.²gi|Verb 3rd Infinitive:uhnawesdi^ᎤᎿᏪᏍᏗ^u²hna.²we¹sdi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
393,ced,ahnawo,ᎠᎿᏬ,n,noun,noun,shirt,"ahnawaiyva, ahnawea, ahnawoa, uhnawo",a.²hna.²wo,Plural:dihnawo^ᏗᎿᏬ^di²hna.²wo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394,ced,ahnawoa,ᎠᎿᏬᎠ,vt,transitive verb,verb,he's putting on a shirt,"ahnawaiyva, ahnawea, ahnawo, uhnawo",a¹hna.²wo³?a,Verb 1st Present:ganiwoa^ᎦᏂᏬᎠ^ga.²ni¹wo³?a|Verb 3rd Past:uhnawovi^ᎤᎿᏬᎥᎢ^u¹hna.²wo³?v²³?i|Verb 3rd Present Habitual:ahnawosgoi^ᎠᎿᏬᏍᎪᎢ^a¹hna.²wo³sgo³?i|Verb 2nd Imperative:hahnawoja^ᎭᎿᏬᏣ^ha.²hna.²wo²³ja|Verb 3rd Infinitive:uhnawosdi^ᎤᎿᏬᏍᏗ^u²hna.²wo¹sdi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
395,ced,ahneha,ᎠᏁᎭ,vt,transitive verb,verb,he's giving it to him,"adeha, gakaneha, ganehneha, ganvneha",a¹hne.²ha,Verb 1st Present:jineha^ᏥᏁᎭ^ji¹ne.²ha|Verb 3rd Past:uhnelvi^ᎤᏁᎸᎢ^u¹hne²³lv³?i|Verb 3rd Present Habitual:ahnehoi^ᎠᏁᎰᎢ^a¹hne²³ho.³?i|Verb 2nd Imperative:hivsi^ᎯᎥᏏ^hi.²?v.²si|Verb 3rd Infinitive:uhnehdi^ᎤᏁᏗ^u²hneh³di,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
396,ced,ahnehiha,ᎠᏁᎯᎭ,vi,intransitive verb,verb,he's wrestling,dihnehihi,a³hne²³hi.³ha,Verb 1st Present:gahnehiha^ᎦᏁᎯᎭ^ga³hne²³hi.³ha|Verb 3rd Past:uhnehlvi^ᎤᏁᏢᎢ^u³hne²³hlv³?i|Verb 3rd Present Habitual:ahnehihoi^ᎠᏁᎯᎰᎢ^a³hne²³hi.³ho³?i|Verb 2nd Imperative:hahnega^ᎭᏁᎦ^ha¹hne²³ga|Verb 3rd Infinitive:uhnesdi^ᎤᏁᏍᏗ^u¹hne²³sdi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,ced,ahnehldiha,ᎠᏁᏟᏗᎭ,vt,transitive verb,verb,"he's interpreting, translating it",ahnehltanvi,a¹hnehl³di.²ha,Verb 1st Present:ganehldiha^ᎦᏁᏟᏗᎭ^ga¹nehl³di.²ha|Verb 3rd Past:uhnehltanvi^ᎤᏁᏟᏔᏅᎢ^u¹hnehl³ta.²nv²³?i|Verb 3rd Present Habitual:ahnehldisgoi^ᎠᏁᏟᏗᏍᎪᎢ^a¹hnehl³di²sgo³?i|Verb 2nd Imperative:hahnehlda^ᎭᏁᏟᏓ^ha²hnehl²da|Verb 3rd Infinitive:uhnehldohdi^ᎤᏁᏟᏙᏗ^u²hnehl³doh²di,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398,ced,ahnehltanvi,ᎠᏁᏟᏔᏅᎢ,n,noun,noun,"interpretation, translation",ahnehldiha,a²hnehl³tanv?i,Plural:dihnehltanvi^ᏗᏁᏟᏔᏅᎢ^di²hnehl³ta.²nv⁴?i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
399,ced,ahnejosga,ᎠᏁᏦᏍᎦ,vi,intransitive verb,verb,he's frolicking,,a¹hne²jo.³sga,Verb 1st Present:ganejosga^ᎦᏁᏦᏍᎦ^ga¹ne²jo.³sga|Verb 3rd Past:uhnejonvi^ᎤᏁᏦᏅᎢ^u¹hne²jo³nv²³?i|Verb 3rd Present Habitual:ahnejosgoi^ᎠᏁᏦᏍᎪᎢ^a¹hne²jo.³sgo³?i|Verb 2nd Imperative:hahnejovga^ᎭᏁᏦᎥᎦ^ha²hne²jo.²?v¹ga|Verb 3rd Infinitive:uhnejodi^ᎤᏁᏦᏗ^u²hne²jo²di,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,ced,ahnesgeha,ᎠᏁᏍᎨᎭ,vt,transitive verb,verb,he's building a house,dihnesgesgi,a¹hne³sge.²ha,Verb 1st Present:ganesgeha^ᎦᏁᏍᎨᎭ^ga¹ne³sge.²ha|Verb 3rd Past:uhnesgehvi^ᎤᏁᏍᎨᎲᎢ^u¹hne³sge²hv²³?i|Verb 3rd Present Habitual:ahnesgesgoi^ᎠᏁᏍᎨᏍᎪᎢ^a¹hne³sge²sgo³?i|Verb 2nd Imperative:hahnesgvla^ᎭᏁᏍᎬᎳ^ha²hne¹sgv²³la|Verb 3rd Infinitive:uhnesgehdi^ᎤᏁᏍᎨᏗ^u²hne¹sgeh²di,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401,ced,ahnigia,ᎠᏂᎩᎠ,vi,intransitive verb,verb,1. he's leaving  2. it's starting,ahnigisdiha,a¹hni.²gi.³?a,Verb 1st Present:ganigia^ᎦᏂᎩᎠ^ga¹ni.²gi.³?a|Verb 3rd Past:uhnigisvi^ᎤᏂᎩᏒᎢ^u¹hni.²gi³²sv²³?i|Verb 3rd Present Habitual:ahnigisgoi^ᎠᏂᎩᏍᎪᎢ^a¹hni.²gi³²sgo³?i|Verb 2nd Imperative:hahnigi^ᎭᏂᎩ^ha²hni.²gi|Verb 3rd Infinitive:uhnigisdi^ᎤᏂᎩᏍᏗ^u²³hni.³gi¹sdi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402,ced,ahnigisdiha,ᎠᏂᎩᏍᏗᎭ,vt,transitive verb,verb,he's starting it,ahnigia,a¹hni.²gi³²sdi.²ha,Verb 1st Present:ganigisdiha^ᎦᏂᎩᏍᏗᎭ^ga¹ni.²gi³²sdi.²ha|Verb 3rd Past:uhnigistanvi^ᎤᏂᎩᏍᏔᏅᎢ^u¹hni.²gi³²sta.²nv²³?i|Verb 3rd Present Habitual:ahnigisdisgoi^ᎠᏂᎩᏍᏗᏍᎪᎢ^a¹hni.²gi³²sdi²sgo³?i|Verb 2nd Imperative:hahnigisda^ᎭᏂᎩᏍᏓ^ha²hni.²gi¹sda|Verb 3rd Infinitive:uhnigisdohdi^ᎤᏂᎩᏍᏙᏗ^u²³hni.³gi¹sdoh²di,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
403,ced,ahnohlinega,ᎠᏃᏟᏁᎦ,vt,transitive verb,verb,he's carrying a long object on his shoulder,,a¹hno.²hli²³ne³²ga,Verb 1st Present:ganohlinega^ᎦᏃᏟᏁᎦ^ga¹no.²hli²³ne³²ga|Verb 3rd Past:uhnohlinvsvi^ᎤᏃᏟᏅᏒᎢ^u²hno.²hli²³nv³²svi|Verb 3rd Present Habitual:ahnohlinegoi^ᎠᏃᏟᏁᎪᎢ^a¹hno.²hli²³ne³²go³?i|Verb 2nd Imperative:hahnohlinuga^ᎭᏃᏟᏄᎦ^ha²hno.²hli²nu¹ga|Verb 3rd Infinitive:uhnohlinvsdi^ᎤᏃᏟᏅᏍᏗ^u²hno.²hli²³nv³²sdi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404,ced,aholi,ᎠᎰᎵ,n,noun,noun,his mouth,,a.²ho⁴li,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
405,ced,ahudia,ᎠᎱᏗᎠ,vt,transitive verb,verb,he's putting a long object in liquid,guhvsga,a¹hu²di.³?a,Verb 1st Present:jiudia^ᏥᎤᏗᎠ^ji.²?u²di.³?a|Verb 3rd Past:uhudvi^ᎤᎱᏛᎢ^u¹hu³dv²³?i|Verb 3rd Present Habitual:ahudisgoi^ᎠᎱᏗᏍᎪᎢ^a¹hu²di³²sgo³?i|Verb 2nd Imperative:hihuda^ᎯᎱᏓ^hi.²hu²³da|Verb 3rd Infinitive:uhudisdi^ᎤᎱᏗᏍᏗ^u²hu²³di³²sdi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406,ced,ahujawoladvdi,ᎠᎱᏣᏬᎳᏛᏗ,n,noun,noun,"stove pipe, lamp chimney",ahujawoladvi,a.²hu¹ja.²wo²³la.³dv⁴di,Plural:dihujawoladvdi^ᏗᎱᏣᏬᎳᏛᏗ^di²hu¹ja.²wo²³la.³dv⁴di,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407,ced,ahujawoladvi,ᎠᎱᏣᏬᎳᏛᎢ,n,noun,noun,chimney,ahujawoladvdi,a¹hu³ja.²wo²³la.³dv⁴i,Plural:dahujawoladvi^ᏓᎱᏣᏬᎳᏛᎢ^da¹hu³ja.²wo²³la.³dv⁴?i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408,ced,ahuli,ᎠᎱᎵ,n,noun,noun,drum,,a.²hu²li,Plural:dihuli^ᏗᎱᎵ^di²hu²li,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
409,ced,ahulvniha,ᎠᎱᎸᏂᎭ,vt,transitive verb,verb,he's hitting him on the mouth,,a¹hu²lv³ni.²ha,Verb 1st Present:jiulvniha^ᏥᎤᎸᏂᎭ^ji.²?u²lv³ni.²ha|Verb 3rd Past:uhulvnilvi^ᎤᎱᎸᏂᎸᎢ^u¹hu²lv²³ni³²lv²³?i|Verb 3rd Present Habitual:ahulvnihoi^ᎠᎱᎸᏂᎰᎢ^a¹hu²lv³ni.²ho³?i|Verb 2nd Imperative:hiulvniga^ᎯᎤᎸᏂᎦ^hi.²?u²lv²ni¹ga|Verb 3rd Infinitive:uhulvnisdi^ᎤᎱᎸᏂᏍᏗ^u²hu²lv²³ni³²sdi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410,ced,ahva,ᎠᎲᎠ,vt,transitive verb,verb,he's moving it from one place to another,"adisiyva, gakahva, ganiyva",a¹hv³?a,Verb 1st Present:jiva^ᏥᎥᎠ^ji.²?v³?a|Verb 3rd Past:uhvsvi^ᎤᎲᏒᎢ^u¹hv³sv²³?i|Verb 3rd Present Habitual:ahvsgoi^ᎠᎲᏍᎪᎢ^a¹hv³sgo³?i|Verb 2nd Imperative:hihvna^ᎯᎲᎾ^hi.²hv²³na|Verb 3rd Infinitive:uhvsdi^ᎤᎲᏍᏗ^u²hv¹sdi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
