ID,Source,Syllabary,Transliteration,English,Audio,Story,Chapter,Line,Author,Speaker,,Word-by-word Literal Translation,Cherokee Morphemes,English Morphemes (Gloss)
,Cherokee Narratives,ᏣᏆᏛᏏᏗᏒ ᎢᎸᏢ 57 ᏧᏕᏘᏴᏌᏗᏒ Ꮭ ᎠᏏ ᏗᎾᎦᎵᏍᎩ ᏱᏙᎩᏏᎳᏕ ᎣᎨᏅᏒ ᎦᎵᏦᏕ,jagwatvsidisv ilvhdlv 57 judetiyvsadisv hla asi dinagalisgi yidogisilade ogenvsv galhjode,"When I was growing up, I guess it was about the year 1957, we did not have electricity in our house yet.",,Ball of Fire,,1,Durbin Feeling,,,"when I was growing up, somewhere, 57, the year of, not, yet, electricity, we had no wiring in our home, house",j-agw-atvs-idis-v ilvhdlv 57 j-u-detiyv-sadis-v hla asi di-n-agalis-g-i yi-d-ogi-silad-e og-envs-v galhjode,"Rel 1 grow-up Inc exP, somewhere, 57, Pst 3 year-of exP, not, yet, Pl Pl to-lighten Prog Ag, nonF Pl they-and-I connect repP, they-and-I home exP, house"
,Cherokee Narratives,ᎣᎩᎸᏉᏗ ᎨᏒ ᎾᎥ ᎢᏦᎦᏓᎵ ᏧᏁᏅᏒ ᏬᎨᏓᏍᏗ ᏗᏓᏴᎳᏛᏍᎩ ᎤᏂᎲ ᎠᎴ ᏧᎵᏏᏅᏓᏊ ᎢᏳᏍᏗ,ogilvkwdi gesv na?v ijogadali junenvsv wogedasdi didayvlatvsgi unihv ale julisihnvdagwu iyusdi,"We really liked to visit our neighbors. They had a television, and we would go just about every evening.",,Ball of Fire,,2,Durbin Feeling,,,"we liked, was near, apart, their home for us to go there, television, they had, and, nightly just, almost",ogi-lvkwdi ges-v na?v ijo-gadali j-u-n-envs-v w-og-edas-di di-d-a-yvlatvs-g-i u-ni-h-v ale julisihnvdagwu iyusdi,"they-and-I like, be exP, near, they-and-I apart, Pl 3 Pl home exP, Tr they-and-I go Inf, Pl Pl 3 in-view Prog Ag, 3 Pl have exP, and, nightly just, almost"
,Cherokee Narratives,ᎢᎸᏍᎩ ᎢᏯᏓᏁᎸ ᏓᎾᏠᏏᎯᎲ ᏗᏓᏴᎳᏛᏍᎩ ᏧᎾᎦᏙᏍᏔᏂᏢᎢ,ilvsgi iyadanelv danadlosihihv didayvlatvsgi junagatostanihlv?i,A few families would come to watch the television.,,Ball of Fire,,3,Durbin Feeling,,,"a few, families, they would come and gather, television, for them to come",ilvsgi iyadanelv d-a-n-adlosihih-v di-d-a-yvlatvs-g-i j-u-n-agatos-tan-ihl-v?i,"a-few, family, Pl 3 Pl gather exP, Pl Pl 3 in-view Prog Ag, Inf 3 Pl watch Inf come exP"
,Cherokee Narratives,ᏌᏊ ᎢᏳᏩᎪᏗ ᏒᏃᏱ ᏫᎣᎩᎷᏣ ᏦᎨᏅᏒ ᎩᏟ ᎤᏍᎦᏎᏗᏊ ᏂᎦᏪᏍᎬ ᏓᏑᏫᏍᎬ ᎤᏠᏱᏊ ᎪᎱᏍᏗ ᎠᏊᎢᏴ ᏣᎪᏩᏘᏍᎪ,sagwu yuwagodi svnoyi wi?ogiluhja jogenvsv gitli usgasehdigwu nigawesgv dasuhwisgv utloyigwu gohusdi agwu?iyv jagowatisgo,"One night when we returned home, our dog was barking fiercely as if he were barking at some animal close by.",,Ball of Fire,,4,Durbin Feeling,,,"one time, midnight, when we returned, at home, dog, fiercely, was uttering, it was barking, just as, something, here close by, as if he were seeing it",sagwu yuwagodi svnoyi wi-?ogi-luhj-a j-og-envs-v gitli usgasehdi-gwu ni-g-awes-g-v d-a-suhwis-g-v uhloyi-gwu gohusdi agwu?iyv j-a-gowatis-g-o,"one, time, midnight, Tr they-and-I arrive imP, Pl they-and-I home exP, dog, fiercely just, Lat 3 utter Prog exP, Pl 3 bark Prog exP, same just, something, close-by, Rel 3 see Prog Hab"
,Cherokee Narratives,ᎤᏠᏱ ᎾᏛᏁᎲ ᎠᏁᎷᎩᏍᎬ ᎠᎨ ᎢᏳᏓᏅᎯᏓ ᏃᏊᎴ ᏗᎠᏨᏍᎪ ᎠᏊᎢᏴ ᎢᎦᎷᎪᎢ ᎠᎴ ᏓᏑᏫᏍᎬ ᏂᎬᏩᏍᏙᎢ,uhloyi nadvnehv anelugisgv age iyudanvhida nogwule di?ajvsgo agwu?iyv iga?luhgo?i ale dasuhwisgv nigvwasdo?i,"He would run after it and then run back, barking all along.",,Ball of Fire,,5,Durbin Feeling,,,"the same, he was doing, it was chasing after it, over there, distance, and then, he would turn back, here close by, he would return, and, his barking, it would continue",uhloyi n-a-dvneh-v a-n-elugis-g-v age iyudanvhida nogwule di-a-jvs-g-o agwu?iyv i-g-a?luhg-o?i ale d-a-suhwis-g-v ni-g-vwasd-o?i,"same, Spec 3 do exP, 3 Pl chase Prog exP, over-there, at-distance, then and, Dst 3 turn-back Prog Hab, here-close-by, Rep arrive Prog Hab, and, Pl 3 bark Prog exP, Lat 1 continue Hab"
,Cherokee Narratives,Ꮭ ᎤᏟᎢᎦ ᏲᏣᎦᏎᏍᏓᏁᎴ ᎢᎬᏱ ᎥᏍᎩ ᏄᏛᏁᎳ,hla udli?iga yojagasesdanele igvyi vsgi nudvnela,We didn't pay much attention to him that first night.,,Ball of Fire,,6,Durbin Feeling,,,"not much, we didn't pay much attention to it, at first, that, when it did that",hla udli?iga y-oj-agasesdan-el-e igvyi vsgi n-u-dvn-el-a,"not, much, nonF they-and-I pay-attention Dat repP, at-first, that, Spec 3 do recP"
,Cherokee Narratives,ᎤᎩᏨᏓᏍᎩᏂ ᎤᏒ ᎤᏠᏱ ᏄᏛᏁᎸ,ugijvdasgini usv uhloyi nudvnelv,And the next night he did the same thing.,,Ball of Fire,,7,Durbin Feeling,,,"but the next day, night, same, he did it",ugijvda-sgini usv uhloyi n-u-dvnel-v,"next-day however, night, same, Spec 3 do exP"
,Cherokee Narratives,ᎠᏁᎷᎩᏍᎪ ᎠᎨ ᎢᏳᏓᏅᎯᏓ ᏗᎠᏨᏍᎪ ᏃᏊᎴ ᎢᎠᏁᎷᎩᏍᎪ ᎤᏠᏱᏊ ᏳᏚᎵᎭ ᎩᎶ ᎤᏍᏓᏩᏛᏍᏗᎢ,anelugisgo age iyudanvhida di?ajvsgo nogwule i?anelugisgo utloyigwu yuduliha kilo usdawadvsdi?i,"He would bark, run after whatever it was, and then run back as if he wanted someone to follow him.",,Ball of Fire,,8,Durbin Feeling,,,"he would chase after it, over there, distance, he would turn back, again he would chase after it, just as though, if he wanted someone, to follow him",a-n-elugis-g-o age iyudanvhida di-?a-jvs-g-o nogwu-le i-?a-nelugis-g-o uhloyi-gwu y-u-dulih-a kilo u-sdawadvs-di?i,"3 Pl chase Prog Hab, over-there, distance, Dst 3 turn-back Prog Hab, Rep 3 chase Prog Hab, same just, nonF 3 want Pres, someone, 3 follow Inf"
,Cherokee Narratives,ᎢᎬᏱᏃ ᏩᎦᏊ ᎠᎴᏱᎩ ᎪᎱᏍᏗᏊ ᏄᏓᎴ ᎦᎾᏝᎢ ᏱᎡᏙᎭ ᎣᎨᎵᏒᎢ,igvyihno wahgagwu aleyigi gohusdigwu nudale ganahla?i yi?edoha ogelisv?i,At first we thought it was just a cow or some other animal.,,Ball of Fire,,9,Durbin Feeling,,,"and at first, just a cow, or, just something, something else, stock, it may be roaming, we all thought",igvyi-hno wahga-gwu aleyigi gohusdi-gwu nudale ganahla?i yi-?e-doh-a og-elis-v?i,"at-first and, cow just, or, something just, different, livestock, nonF be-there Pres, they-and-I think exP"
,Cherokee Narratives,ᏃᏊ ᎤᎦᏛᏓᏁᎸ ᎡᏙᏓ ᏥᎨᏒ ᎠᎴ ᎦᎶᏇ ᎤᏒᏕᎾ ᏭᏴᎲ ᎦᎵᏦᏕ,nogwu ugatvhdanelv edoda jigesv ale galogwe usvdena wuyvhv galihjode,"But when he did it the second time, my dad got curious and went in the house and got our shotgun.",,Ball of Fire,,10,Durbin Feeling,,,"then, it made him curious, my father, who was, and, gun, big barrel, he went and got, in the house",nogwu ug-advh-dan-el-v edoda ji-ges-v ale galogwe usvdena w-u-yvh-v galihjode,"then, 3 curious Caus Dat exP, 1Pos father, Rel be exP, and, gun, big-barrel, Tr 3 go-get exP, house-in"
,Cherokee Narratives,ᏦᏍᏓᏓᏅᏟᏃ ᎠᏴᏃ ᎡᏙᏓᎴ ᏃᏊ ᎣᏥᏍᏓᏩᏛᏒ ᎩᏟ,josdadahnvtlihno ayvhno edodale nogwu ojisdawadvsv gitli,"So, my dad, my brother, and I followed the dog.",,Ball of Fire,,11,Durbin Feeling,,,"and my brother, and I, my dad also, then, we followed it, dog",j-osd-adahnvtli-hno ayv-hno edoda-le nogwu oji-sdawadvs-v gitli,"Pl he-and-I brother and, I and, 1Pos father also, then, they-and-I follow exP, dog"
,Cherokee Narratives,ᎩᏟᏃ ᏃᏊ ᎤᏕᎶᎰᏌ ᎣᏥᏍᏓᏩᏕᎬ ᏫᏂᎦᏯᎢᏒ Ꮭ ᏃᏊ ᏱᏗᎤᏨᏎ,gitlihno nogwu udelohosa ojisdawadegv winigaya?isv hla nogwu yidi?ujvse,"When the dog noticed that we were willing to follow him, he kept going and did not run back.",,Ball of Fire,,12,Durbin Feeling,,,"and dog, when he realized, that we were following him, he kept going, no, now, he didn't turn back",gitli-hno nogwu u-delohos-a oji-sdawade-g-v wi-ni-g-aya?is-v hla nogwu yi-di-?ujvs-e,"dog and, whenever, 3 realize recP, they-and-I follow Prog exP, Tr Lat 3 go exP, no, now, nonF Dst turn repP"
,Cherokee Narratives,ᎠᏴ ᏃᏊ ᏦᎢ ᎢᏲᏥᎢ ᎣᏥᏍᏓᏩᏛᏒ ᎠᎴ ᎢᎸᏢ ᎩᏄᏛᏗ ᎢᏳᏟᎶᏓ ᎢᏳᏓᏅᎯᏓ ᎤᏂᎩᏒ ᎪᎱᏍᏗ ᏣᎨᎯᏐ ᎢᏳᏍᏗ,ayv nogwu jo?i iyoji?i ojisdawadvsv ale ilvhdlv ginutdi iyuhliloda iyudanvhida uhnigisv gohusdi jakehiso iyusdi,"We followed the dog for about a quarter mile, and he acted like he was after something;",,Ball of Fire,,13,Durbin Feeling,,,"I, now, three, of us, we all followed him, and, somewhere around, one-fourth, of a mile, in distance, he went, something, as if he were chasing it, just as",ayv nogwu jo?i i-yoji?i oji-sdawadvs-v ale ilvhdlv ginutdi iyuhliloda iyudanvhida u-hnigis-v gohusdi j-a-kehis-o iyusdi,"I, then, three, in-number, they-and-I follow Prog exP, and, somewhere-around, one-fourth, of-a-mile, in-distance, 3 start exP, something, as-if 3 chase Hab, just-as"
,Cherokee Narratives,ᎤᏔᎾ ᏧᏍᎦ ᏡᎬ ᎤᏕᏲᎸ ᎠᎴ ᎦᎸᎳᏗ ᎢᏗᏜ ᏫᏓᏑᏫᏍᎪ,utana jusga dluhgv udeyolv ale galvladi ididla widasuwisgo,"then suddenly he stopped at the big oak tree, and he barked as he circled the tree.",,Ball of Fire,,14,Durbin Feeling,,,"big, oak tree, he went around, and, up, toward, he was barking",utana jusga dluhgv u-deyol-v ale galvladi ididla wi-d-a-suwis-g-o,"big, oak tree, 3 go-around exP, and, up, toward, Tr Pl 3 bark Prog Hab"
,Cherokee Narratives,ᎤᎵᎪᎲᏍᏗᏃ ᎨᏒ ᎠᎴ ᏧᎵᏍᏚᏬᏐᏅ ᎨᏒ ᏕᏢᎬ ᎠᎴ ᏒᏃᏱ ᎡᎯ ᏅᏓ ᎥᏍᏊ ᎢᎦᎯ ᎤᏘᏍᏛᎢ,uligohvsdihno gesv ale julisduwosohnv gesv dedluhgv ale svnoyi ehi nvda vsgwu igahi utisdv?i,"It was in the fall, and the leaves had fallen, and the moon was shining brightly.",,Ball of Fire,,15,Durbin Feeling,,,"in the fall time it was, and, leaves had fallen completely, it was, trees, and, midnight, dweller, sun, also, brightly, it was shining",u-ligohvs-di-hno ges-v ale j-u-lisduwos-ohn-v ges-v de-dluhgv ale svnoyi eh-i nvda vsgwu igahi u-tisd-v?i,"3 fall-in Inf and, be exP, and, Pst 3 fall Comp exP, be exP, Pl tree, and, evening, be Ag, sun, also, brightly, 3 shine exP"
,Cherokee Narratives,ᎠᏎᏃ ᎣᎦᏕᏲᏅ ᏧᏍᎦ ᏡᎬ ᏝᏃ ᎥᏍᏊ ᎪᎱᏍᏗ ᎤᎩᎸ ᏲᏥᎪᎡ,asehno ogadeyohnv jusga dluhgv hlano vsgwu gohusdi uki?lv yojigo?e,"We went around the oak tree, but we did not see anything up in the tree.",,Ball of Fire,,16,Durbin Feeling,,,"but, we went completely around, oak, tree, and not, also, something, perched on, we didn't see",asehno og-adey-ohn-v jusga dluhgv hla-no vsgwu gohusdi uki?l-v y-oji-ogo?-e,"but, they-and-I go-around Comp exP, oak, tree, not and, also, something, on exP, nonF they-and-I see repP"
,Cherokee Narratives,ᎩᏟᏃ ᏂᎬᏩᏍᏛ ᎤᏍᎦᏎᏗ ᏂᎦᏪᏍᎬ ᏓᏑᏫᏍᎬᎢ,gitlihno nigvwasdv usgasehdi nigawesgv dasuhwisgv?i,The dog kept barking fiercely.,,Ball of Fire,,17,Durbin Feeling,,,"and dog, continued, fiercely, uttering, barking",gitli-hno ni-g-vwasd-v usgasehdi ni-g-awes-g-v d-a-suhwis-g-v?i,"dog and, ni 3 continue exP, fiercely, ni 3 utter Prog exP, Pl 3 bark Prog exP"
,Cherokee Narratives,ᎣᎦᏢᏲᎳᏃ ᎪᎱᏍᏗ ᎣᏥᎪᏩᏛᏗ ᎡᏙᏓ ᏥᎨᏒ ᏃᏊ ᏗᏡᎬ ᎦᎸᎳᏗ ᎢᏗᏢ ᏫᏚᎵᏐᏍᏔᏅ ᎤᏒᏕᎾ ᎦᎶᏊ ᎠᎴ ᏫᏚᏍᏓᏲᏢ,ogatlvyolahno gohusdi ojigowahtvhdi edoda jigesv nogwu didluhgv galvladi ididlv widulisostanv usvdena galogwe ale widusdayohlv,"When we could not see anything up there, my dad aimed up toward the branch and fired a shot.",,Ball of Fire,,18,Durbin Feeling,,,"and when we gave up, something, for us to see, my dad, who was, then, at tree, up, toward, he aimed, big barrel, gun, and, he shot",og-ahlvyol-a-hno gohusdi oji-gowahtvh-di edoda ji-ges-v nogwu didluhgv galvladi ididlv wi-d-u-lisostan-v usvdena galogwe ale wi-d-u-sdayohl-v,"they-and-I give-up recP and, something, they-and-I see Inf, 1Pos father, Rel be exP, then, tree, up, toward, Tr Pl 3 aim exP, big-barrel, gun, and, Tr Pl 3 shoot exP"
,Cherokee Narratives,ᎩᎳᏊᏃ ᎢᏴᏓ ᎦᏌᏆᎸ ᎠᏓᏪᎳᎩᏍᎩ ᎠᎳᏍᎦᎸᏗ ᎢᎩᏓ ᏭᎵᏌᎳᏓᏅ ᎦᎸᎶ ᎢᏗᏢ ᎠᎴ ᎢᎸᏍᎩᏊ ᎢᎳᏏᏗ ᎢᏴ ᏭᏍᎪᎸᏨ,kilagwuhno iyvda gasagwalv adawelagisgi alasgalvdi ikida wulisaladanv galvlo ididlv ale ilvsgigwu ilasihdi iyv wusgolvjv,"Instantly, a ball of fire about the size of a basketball lifted up from somewhere in the tree and faded out a few feet above the tree.",,Ball of Fire,,19,Durbin Feeling,,,"and just then, you could say, round, flaming, a ball, the size of it, went up, sky, toward, and, just a few, feet, distance, it faded",kila-gwu-hno iyvda gasagwalv a-da-welagis-g-i alasgaldi ikida w-u-lisaladan-v galvlo ididlv ale ilvsgi-gwu ilasihdi iyv w-u-sgolvj-v,"then just and, time-frame, round, 3 Refl flame Prog Ag, ball, size, Tr 3 go-up exP, sky, toward, and, few just, foot, distance, Tr 3 fade exP"
,Cherokee Narratives,ᎾᎯᏳ ᎤᏑᎵᎪᏨ ᎩᏟ ᎤᏍᎦᏎᏗ ᏂᎦᏪᏍᎬ ᏓᏑᏫᏍᎬᎢ,nahiyu usuligojv gitli usgasehdi nigawesgv dasuhwisgv?i,"After that, the dog did not bark like that anymore.",,Ball of Fire,,20,Durbin Feeling,,,"from then on, he quit, dog, fiercely, uttering, his barking",nahiyu u-suligoj-v gitli usgasehdi ni-g-awes-g-v d-a-suhwis-g-v?i,"thereafter, 3 quit exP, dog, fiercely, ni 3 utter Prog exP, Pl 3 bark Prog exP"
,Cherokee Narratives,ᎦᏅᏓᏗᏍᎪ ᏌᏊ ᎢᏳᏩᎪᏗ ᏥᏧᏣᏊ ᏥᎨᏒ ᎩᎶ ᎤᏛᏐᏅ ᎤᏢᎬ ᎢᎸᏍᎩ ᏧᏒᎯᏓ ᎤᏢᏨ ᎠᎴ ᏂᏚᎵᏏᏂᏒ ᎤᏣᏙᎬ ᏂᎬᏩᏍᏛ ᎥᏍᎩᏕᎲ Ꮩ ᎠᏎ ᏄᎵᏍᏔᏁ,ganvdadisgo sagwu iyuwakdi jichujagwu jigesv kilo utvsohnv udlvgv ilvsgi jusvhida udlvjv ale nidulsihnisv ujadogv nigvwsdv vsgidehv do ase nulstane,"I remember once when I was just a boy, there was an old man who had been sick for several days, and each day he seemed to get worse.",,Cat Meowing,,1,Durbin Feeling,,,"I remember, one time, I just a boy it was, someone, old man, he was sick, a few, days, sick, and, every night, he got worse, it seemed, well that, truly perhaps, it happened",ga-nvdadis-g-o sagwu iyuwakdi ji-chuja-gwu ji-ges-v kilo utvsohnv u-dlv-g-v ilvsgi j-usvhida u-dlvj-v ale nidulsihnisv u-jadog-v ni-g-vwsd-v vsgi d-eh-v do ase n-u-lstan-e,"1 remember Prog Hab, one, time, 1 boy just, Pst be exP, someone, old-man, 3 sick Prog exP, a-few, Pl day, 3 get-sick exP, and, every-night, 3 worsen Prog exP, Spec 3 seem exP, that, Pl have exP, do, really perhaps, Spec 3 happen repP"
,Cherokee Narratives,ᏭᏲᎱᏒᎮᏃ ᎢᎸᏍᎩ ᏫᏄᏒᏝ,wuyohusvhehno ilvsgi winusvhla,"I suppose it was true, because a few days later he died.",,Cat Meowing,,2,Durbin Feeling,,,"because he died, a few, days later",w-u-yohus-vhehno ilvsgi winusvhla,"Tr 3 die exP because, a-few, days-later"
,Cherokee Narratives,ᎾᎯᏳᎮᏃ ᏥᎨᏒ ᎤᏟ ᎢᎦ ᎡᎳᏗᏊ ᎣᏤᏙᎯ ᎨᏒ,nahiyuhehno jigesv udli iga eladigwu ojedohi gesv,Back then our mobility was by foot.,,Cat Meowing,,3,Durbin Feeling,,,"back then when it was, mostly quantity, just on foot, we walked, was",nahiyu-hehno ji-ges-v udli iga eladi-gwu oj-edoh-i gesv,"then because, Pst be exP, more, quantity, on-foot just, they-and-I walk Ag, be exP"
,Cherokee Narratives,ᎢᎸᏢ ᏲᎨᎾ ᎠᎴ ᎥᏍᏊ ᎩᎶ ᏳᏢᏣ ᏴᏫ ᎾᎥ ᏂᏚᎾᏓᎸ ᏓᎾᏓᏩᏛᎯᏙᎲ ᎠᎴᏱᎩ ᏓᏂᏨᏓᏆᏍᎬ ᎤᏢᎩ ᎠᏂᎦᏘᏗᎯᎲ,iluhdlv yogena ale vsgwu kilo yudlvja yvwi na?v nidunadalv danadawatvhidohv aleyigi danijvdagwasgv udlvgi aniktidihihv,"When someone was sick, the people in the neighboring area would come and sit up with the sick.",,Cat Meowing,,4,Durbin Feeling,,,"somewhere when we went, and also, someone when he got sick, people, near, close together, they visited each other, or, they would stay night after night, sick person, they would come and stay with him",iluhdlv y-og-en-a ale vsgwu kilo y-u-dlvj-a yvwi na?v ni-d-u-n-adal-v d-a-n-ada-watvh-idoh-v aleyigi d-a-n-ijvdagwas-g-v u-dlv-g-i a-n-iktidi-hih-v,"somewhere, nonF they-and-I go recP, and, also, someone, nonF 3 get-sick Pres, people, near, Spec Pl 3 Pl apart exP, Pl 3 Pl Refl visit around exP, or, Pl 3 Pl stay-night-after-night Prog exP, 3 sick Prog Ag, 3 Pl stay-with come exP"
,Cherokee Narratives,ᏗᏰᎦᏟ ᏗᏆᏍᏙᏃ ᏓᏂᏃᎯᎲ ᎤᏢᎩ ᏗᎦᏅᎬ ᏒᏃᏱᏃ ᏱᏄᎵᏍᏔᎾ ᎤᎿᏊ ᎠᏂᏟᏅᎬ ᎢᎦᏓ ᎦᏙᎯᏊ ᏓᏂᏰᏍᏛᎥᏍᎬ,dihyegahli digwsdohno danihnohihv udlvgi diganvgv svnoyihno yinulstana uhnagwu anihlinvgv igada gadohigwu daniyesdv?vsgv,"They would bring with them quilts and pillows, and when it got late, some would make their pallets on the ground and sleep.",,Cat Meowing,,5,Durbin Feeling,,,"quilts, pillows, they brought, sick person, where he lay, and midnight when it became, just there, they would sleep, some, just on ground, they would bed down",dihyegahli di-gwsdo-hno d-a-ni-hnohih-v u-dlv-g-i di-g-anh-g-v svnoyi-hno yi-n-u-lstan-a uhna-gwu a-n-ihlinv-g-v igada gado-hi-gwu d-a-n-iyesdv?vs-g-v,"quilt, Pl pillow and, Pl 3 Pl bring exP, 3 sick Prog Ag, Dst 3 lie Prog exP, at-midnight and, nonF Spec 3 happen Pres, there just, 3 Pl fall-asleep Prog exP, some, ground on just, Pl 3 Pl spread Prog exP"
,Cherokee Narratives,ᎪᎩ ᏱᎩ ᏚᏂᎦᏒᏍᏙᎢ ᏱᎩ ᏙᏌ ᏚᏂᏖᏍᏙᎢ ᎠᏂᎦᏘᏗᏍᎬ ᏓᎾᏓᏁᏟᏴᏍᎬ ᏃᏊᎴ,gogi yigi duniksvsdo?i yigi dosa dunitesdv?i aniktidisgv danadanedliyvsgv nogwule,"If it was during the summer, they would build a fire to produce smoke to repel the mosquitoes as they kept watch.",,Cat Meowing,,6,Durbin Feeling,,,"summer if it was, they would make smoke, maybe, mosquito, as they repel them, as they kept watch, they would alternate, and also",gogi y-igi d-u-ni-ksvsd-o?i y-igi dosa d-u-ni-tesd-v?i a-ni-ktidis-g-v d-a-n-ada-nedliyvs-g-v nogwu-le,"summer, nonF be, Pl 3 Pl make-smoke Hab, nonF be, mosquito, Pl 3 Pl would exP, 3 Pl stay-up Prog exP, Pl 3 Pl Refl alternate Prog exP, now and"
,Cherokee Narratives,ᎤᏢᎩ ᎥᏍᎩᏃ ᏄᎵᏍᏔᏂᏙᎸ ᎯᎠ ᏥᏥᏃᎮᎭ,udlvgi vsgihno nulstanidolv hi?a jijinoheha,That is what had happened in this story that I am telling.,,Cat Meowing,,7,Durbin Feeling,,,"the sick person, and that is it happened, this, what I am telling",u-dlv-g-i vsgi-hno n-u-lstanidol-v hi?a ji-ji-noheh-a,"3 sick Prog Ag, that and, Spec 3 happen around exP, this, Rel 1 live Pres"
,Cherokee Narratives,ᎡᎳᏗ ᎣᏣᏂᎩᏍᎬ ᏧᏪᏅᏒ ᎣᏤᎪ,eladi ojanigisgv juwenvsv ojego,We would start out on foot to go to his home.,,Cat Meowing,,8,Durbin Feeling,,,"on foot, we would start out, his home, we would go",eladi oj-anigis-g-v j-u-wenvsv oj-e-g-o,"on-foot, they-and-I start Prog exP, Pl 3 home, they-and-I go Prog Hab"
,Cherokee Narratives,ᎤᎿ ᏗᎦᏅᎬ ᏢᏃ ᏔᎵ ᎢᏳᏟᎶᏓ ᎢᏳᏓᏅᎯᏓ ᎨᏒ ᏦᎨᏅᏒ ᏂᏛᏂᎩᏓ,uhna diganhgv dlvhno ta?li iyudhliloda iyudanvhida gesv jogenvsv nidvhigida,It was about two miles from our house.,,Cat Meowing,,9,Durbin Feeling,,,"there where he lay, and somewhere, two, miles, in distance, it was, our home, starting point",uhna di-g-anh-g-v dlv-hno ta?li iyudhliloda iyudanvhida ges-v j-ogenvs-v nidvhnigida,"there, Dst 3 lie Prog exP, somewhere and, two, mile, in-distance, be exP, Pl they-and-I home exP, start"
,Cherokee Narratives,ᎦᏅᏓᏗᏍᎪᎢᏃ ᏬᎩᏨᏓᏋ Ꮲ ᏔᎵᎭ ᎢᏳᏩᎪᏗ,ganvdadisgo?ihno wogijvdagwv dlv taliha iyuwakdi,I remember we spent the night there a couple of times.,,Cat Meowing,,10,Durbin Feeling,,,"I remember, we spent the night, some time, about two times",ga-nvdadvs-g-o?i-hno w-ogi-jvd-a-gwv dlv tali-ha iyuwakdi,"1 remember Prog Hab and, Tr they-and-I spend-night Pres just, somewhere, two Num, time"
,Cherokee Narratives,ᏃᏊᏃ Ꮲ ᏅᎩᏁ ᏒᏃᏱ Ꮭ ᏲᎨᏅᏎ ᎡᎵᏏᏍᎩᏂ ᏧᏪᏅᏒ ᎣᎨᏅᏒ ᎠᎴ ᎣᎩᏒᎸ,nogwuhno dlv nvhgine svnoyi hla yogenvse elisisgini juwenvsv ogenvsv ale ogisvlv,"About the fourth night we did not go, but instead we went to visit my grandmother.",,Cat Meowing,,11,Durbin Feeling,,,"and then, some time, the fourth, night, not we did not go, but grandmother her home, we went, and, we spent the night",nogwu-hno dlv nvhgi-ne svnoyi hla y-og-envs-e e-lisi-sgini j-u-wenvs-v og-envs-v ale ogi-svhl-v,"then and, sometime, four Ord, at-night, not, nonF they-and-I go repP, 1Pos grandmother but, Pl 3 home exP, they-and-I go exP, and, they-and-I spend-night exP"
,Cherokee Narratives,ᏃᏊᏃ ᎡᎵᏏ ᏥᎨᏒ ᎣᎦᏛᏅᎢᏍᏓᏁᎸ ᎣᎩᏒᏍᏗ ᏚᏰᏍᏛᏂᏙᎸ ᎣᎦᏅᏢᏗ ᎣᎦᏅᏢᎾᏃ ᏃᏊ Ꮩ ᏃᎦᏛᏁᎳ ᎠᏏ ᏫᏃᎩᎵᏅᏨᎾᏊ ᏂᎦᏓ ᎣᎦᏛᎦᏅ ᏪᏌ ᏂᎦᏪᏍᎬ,nogwuhno elisi jigesv ogadvnv?isdanelv ogisvsdi duyesdvnidolv oganhdlvdi oganhdlvnahno nogwu to nogadvnela asi winogilinvjvnagwu nigada ogatvganv wesa nigawesgv ina nidigawesgv,"She prepared our beds for us, and we all went to bed, but before any of us fell asleep, we heard a faint meowing of a cat somewhere off in the distance.",,Cat Meowing,,12,Durbin Feeling,,,"and then, grandmother, who was, she prepared for us, our beds, she laid pallets around, for us to bed down, after we lay down, then, quiet, we became, before, just before we went to sleep, all, we heard, a cat, its meowing, far away, it was uttering",nogwu-hno e-lisi ges-v og-advnv?isda-nel-v ogi-svsdi d-u-yesdvni-dol-v og-anhdlv-di og-anhdlvn-a-hno nogwu to n-og-advnel-a asi wi-n-ogi-hlinvj-v nigada og-atvgan-v wesa ni-g-awes-g-v ina ni-di-ga-wes-g-v,"then and, 1Pos grandmother, be exP, they-and-I prepare Dat exP, they-and-I bed, Pl 3 spread around exP, they-and-I lie-down Inf, they-and-I lie-down Pres and, then, then, Spec they-and-I do Pres, before, Tr Spec they-and-I fall-asleep exP, all, they-and-I hear exP, cat, Spec 3 utter Prog exP, far-away, Spec Pl 3 utter Prog exP"
,Cherokee Narratives,ᏔᎵᏁ ᎢᎣᎦᏛᎦᎾ ᏂᎤᏪᏌ ᏃᏊ ᏍᏗᎩᏓ ᎾᎥᏂᎨ ᏂᎬᏩᏍᏛ,woktvganv taline i?oktvgana ni?uwesa nogwu sdikida na?vhnige nigvwsdv,"When we heard it the second time, it seemed a little closer.",,Cat Meowing,,13,Durbin Feeling,,,"we heard, second time, when we heard it, when it meowed again, then, a little bit, closer, it seemed",w-ok-tvgan-v tali-ne i-?ok-tvgan-a ni-ga-wes-g-v nogwu sdikida na?v-hnige ni-g-vwsd-v,"Tr they-and-I hear exP, two Ord, Rep they-and-I hear recP, Spec 3 meow Prog exP, then, a-little, close more, Spec 3 seem exP"
